,Cycle,EventType,InitiationDT,SEP Reference Time,InitiationEvent,Case,Flare Xray Start Time Deprecated,Flare Xray Peak Time Deprecated,Flare Xray End Time Deprecated,Flare Class Deprecated,Flare Magnitude Deprecated,Flare Integrated Flux Deprecated,Flare Duration Deprecated,Flare Xray Time To Peak Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Xray Time To Peak,Flare Catalog ID,Flare Opt,Active Region,AR Area,AR Spot Class,AR Mag Class,AR Carrington,Event Location From Center,Event Latitude,Event Longitude,Event Location Source,Event Location from Center 2,Event Latitude 2,Event Longitude 2,Event Location Source 2,Radio Rbr245Max,Radio Rbr2695Max,Radio Rbr8800,Radio TyIII_Imp,Radio m_TyII Start Time,Radio m_TyII End Time,Radio TyII Imp,Radio TyII Speed,Radio m_TyII Start Frequency,Radio m_TyII End Frequency,Radio Station,Radio DH Start Time,Radio DH End Time,Radio DH Start Frequency,Radio DH End Frequency,Radio DH Note,Radio TyIV Start Time,Radio TyIV End Time,Radio TyIV Imp,Radio TyIV Duration,CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Mean Position Angle,DONKI CME Start Time,DONKI CME Speed,DONKI CME Half Width,DONKI CME Lat,DONKI CME Lon,DONKI CME Time at 21.5,DONKI CME Feature,DONKI CME Measurement Technique,DONKI CME Catalog ID,CME Transit Time,Proton Max Energy,P10_FluxStart,P10_StartDT,P10_OnsetMax_DT,P10_OnsetMax,ESP_CME,P10_PeakDT,P10_PeakVal,P10_EndDT,P10_TimeToOnset(h),P10_TimeToOnsetPeak(h),P10_TimeToPeak(h),P10_Dur(h),EventTermination,P50_FluxStart,P50_StartDT,P50_OnsetPeakDT,P50_Onset MaxVal,P50_PeakDT,P50_PeakVal,P50_EndDT,P50_TranTime(h),P50_PeakRise(h),P50_Dur(h),P100_FluxStart,P100_StartDT,Onset_P100_PkDT,Onset_P100_PkVal,Event_P100_PkDT,Event_P100_PkVal,P100_EndDT,P100_TranTime(h),P100_PeakRise(h),P100_Dur(h),GLE Event Number,ESP Flare Xray Start Time Deprecated,ESP Flare Xray Peak Time Deprecated,ESP Flare Xray End Time Deprecated,ESP Flare Class Deprecated,ESP Flare Opt,ESP Flare Integrated Flux Deprecated,ESP Flare Duration Deprecated,ESP Flare Xray Time to Peak Deprecated,ESP Active Region,ESP AR Area,ESP AR Spot Class,ESP AR Mag Class,ESP AR Carrington,ESP Event Location From Center,ESP Event Latitude,ESP Event Longitude,ESP Event Location Source,ESP Radio m_TyII Start Time,ESP Radio m_TyII End Time,ESP Radio Station,ESP Radio TyII Imp,ESP Radio TyII Speed,ESP CDAW CME First Look Time,ESP CDAW CME LASCO Speed,ESP DONKI CME Speed,ESP CME Transit Time,ACE CME passage,ACE Bz,Sudden Imp Time,Sudden Imp Amplitude,DST,GOES Xray Satellite,GOES Protons Satellite,PRF,Comments
80,23.0,ESPE,2003-11-02 17:25:00,2003-11-02 17:35:00,FL-PK,AR,2003-11-02 17:03:00,2003-11-02 17:25:00,2003-11-02 17:39:00,X8.3,0.00083,0.91,36.0,22.0,2003-11-02 16:59:00,2003-11-02 17:25:00,2003-11-02 17:39:00,X11.9,0.001196287339553237,1.3293492794036865,40.0,26.0,200311021659,2B,10486,1900.0,Fkc,BGD,284.0,57.1,-14.0,56.0,HOL,60.7,18.0,59.0,LMSAL,24000.0,7700.0,20000.0,,2003-11-02 17:14:00,2003-11-02 17:37:00,3.0,1691.0,180.0,25.0,PAL,2003-11-02 17:30:00,2003-11-03 01:00:00,12000.0,250.0,Chaotic and intense,2003-11-02 17:14:00,2003-11-02 18:24:00,3.0,70.0,2003-11-02 17:30:00,2598.0,Halo (OA),265.0,,,,,,,,,,5,56,2003-11-02 17:35:00,2003-11-02 17:35:00,2003-11-03 08:15:00,1570.0,,2003-11-03 08:15:00,1570.0,2003-11-04 21:20:00,0.17,14.67,14.67,51.75,,,,,,,,,,,,,2003-11-02 17:40:00,2003-11-02 19:05:00,49.0,,,2003-11-03 17:20:00,0.25,1.42,23.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-11-04 06:00:00,,2003-11-04 06:27:00,72.0,-69,12.0,11.0,1470,
81,23.0,ESPE,2003-11-04 19:50:00,2003-11-04 22:15:00,FL-PK,AR,2003-11-04 19:29:00,2003-11-04 19:50:00,2003-11-04 20:06:00,X28,0.0028,2.3,37.0,21.0,2003-11-04 19:27:00,2003-11-04 19:52:00,2003-11-04 20:06:00,X24.8,0.002487914403900504,3.349693775177002,39.0,25.0,200311041927,3B,10486,1430.0,Fkc,BGD,284.0,83.4,-19.0,83.0,HOL,88.1,-18.0,88.0,LMSAL,1800.0,20000.0,30000.0,1.0,2003-11-04 20:03:00,2003-11-04 20:10:00,3.0,1268.0,90.0,23.0,CUL,2003-11-04 20:00:00,2003-11-05 00:00:00,10000.0,200.0,Intense but indistinct,2003-11-04 19:47:00,2003-11-04 20:17:00,2.0,30.0,2003-11-04 19:54:00,2657.0,Halo (OA),260.0,,,,,,,,,,4,83,2003-11-04 22:15:00,2003-11-04 22:25:00,2003-11-05 06:00:00,353.0,,2003-11-05 06:00:00,353.0,2003-11-07 12:30:00,2.58,7.58,7.58,62.08,,,,,,,,,,,,,2003-11-05 05:35:00,2003-11-05 05:40:00,1.3,,,2003-11-05 07:05:00,9.75,0.08,1.5,GLE 67,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-11-06 19:19:00,,2003-11-06 19:37:00,31.0,-15,12.0,11.0,1471,
82,23.0,SPE,2003-11-20 23:47:00,2003-11-21 06:00:00,FL-PK,AR,2003-11-20 23:42:00,2003-11-20 23:47:00,2003-11-20 23:58:00,M5.8,9.6e-05,0.06,18.0,12.0,2003-11-20 23:36:00,2003-11-20 23:53:00,2003-11-20 23:58:00,M8.3,8.36038016132079e-05,0.043085478246212006,22.0,17.0,200311202336,2B,10501,380.0,Dko,BG,2.0,8.1,1.0,8.0,LEA,7.0,0.0,7.0,LMSAL,340.0,740.0,300.0,3.0,,,,,,,,,,,,,,,,,2003-11-21 00:26:00,494.0,52,237.0,,,,,,,,,,39,8,2003-11-21 06:00:00,2003-11-21 23:55:00,2003-11-22 02:30:00,14.0,,2003-11-22 02:30:00,13.9,2003-11-22 07:15:00,40.13,2.58,2.58,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-422],12.0,11.0,1473,
83,23.0,SPE,2003-12-02 11:49:00,2003-12-02 12:25:00,FL-PK,AR,2003-12-02 10:25:00,2003-12-02 11:49:00,2003-12-02 12:21:00,C8.0,8e-06,0.005,116.0,84.0,2003-12-02 10:25:00,2003-12-02 11:49:00,2003-12-02 12:21:00,M1.1,1.1428571428571429e-05,0.0071428571428571435,116.0,84.0,,,10508,140.0,Cso,B,283.0,90.0,-19.0,90.0,EST,89.0,-10.0,89.0,LMSAL,230.0,9700.0,,3.0,,,,,,,,2003-12-02 11:00:00,2003-12-02 12:00:00,14000.0,9000.0,CDAW,,,,,2003-12-02 10:50:00,1393.0,Partial Halo,267.0,,,,,,,,,,-59,90,2003-12-02 12:25:00,2003-12-02 15:05:00,2003-12-02 18:20:00,89.0,,2003-12-02 18:20:00,88.9,2003-12-04 00:00:00,3.27,3.25,3.25,32.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1475,Flare times: Pulled from G12 data. The C8 is masked by a larger M1 such that it is not in the PRF/EL as a separate flare.  This peak is associated w/CME.  AR 10508 is on the limb. Type II on CDAW list but not WIND-WAVES
84,23.0,SPE,2004-04-11 04:19:00,2004-04-11 06:10:00,FL-PK,AR/FE,2004-04-11 03:54:00,2004-04-11 04:19:00,2004-04-11 04:35:00,C9.6,9.6e-06,0.013,41.0,25.0,2004-04-11 03:52:00,2004-04-11 04:19:00,2004-04-11 04:35:00,M1.3,1.385366795148002e-05,0.019577013328671455,43.0,27.0,200404110352,1F,10588,150.0,Cso,B,312.0,48.6,-14.0,47.0,LEA,,,,,110.0,920.0,460.0,,,,,,,,,2004-04-11 04:20:00,2004-04-11 05:35:00,14000.0,21000.0,Fast broad tone,,,,,2004-04-11 04:30:00,1645.0,314,237.0,,,,,,,,,,11,47,2004-04-11 06:10:00,2004-04-11 11:35:00,2004-04-11 18:45:00,35.0,,2004-04-11 18:45:00,35.0,2004-04-12 10:45:00,7.27,7.17,7.17,23.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1493,EL: DSF S18W50
85,23.0,SPE,2004-07-25 15:14:00,2004-07-25 16:55:00,FL-PK,AR/ESP,2004-07-25 14:19:00,2004-07-25 15:14:00,2004-07-25 16:43:00,M1.1,1.1e-05,0.065,144.0,55.0,2004-07-25 14:26:00,2004-07-25 15:20:00,2004-07-25 16:40:00,M1.6,1.631581471883692e-05,0.09215737879276276,134.0,54.0,200407251426,1F,10652,1610.0,Fkc,BGD,346.0,33.8,8.0,33.0,HOL,,,,,2100.0,120.0,76.0,,2004-07-25 15:21:00,2004-07-25 15:26:00,1.0,898.0,81.0,25.0,SVI,2004-07-25 15:00:00,2004-07-26 22:25:00,1000.0,10.0,Complex w. many bands,2004-07-25 14:15:00,2004-07-25 17:31:00,2.0,196.0,2004-07-25 14:54:00,1333.0,Halo (BA),204.0,,,,,,,,,,-20,33,2004-07-25 16:55:00,2004-07-25 18:55:00,2004-07-26 09:05:00,77.0,RELAT,2004-07-26 22:50:00,2090.0,2004-07-28 00:40:00,3.68,14.17,27.92,53.75,,,,,,,,,,,,,,,,,,,,,,,2004-07-25 14:19:00,2004-07-25 15:14:00,2004-07-25 16:43:00,M1.1,1F,0.065,144.0,55.0,10652.0,1610.0,Fkc,BGD,346.0,33.8,8.0,33.0,RELAT,2004-07-25 15:21:00,2004-07-25 15:26:00,SVI,1.0,898.0,2004-07-25 14:54:00,1333.0,,31.58,2004-07-26 22:30:00,,2004-07-26 22:49:00,95.0,-170,12.0,11.0,1508,ESP Peak
86,23.0,SPE,2004-09-12 00:56:00,2004-09-13 20:00:00,FL-PK,AR,2004-09-12 00:04:00,2004-09-12 00:56:00,2004-09-12 01:33:00,M4.8,4.8e-05,0.15,89.0,52.0,2004-09-11 23:57:00,2004-09-12 00:56:00,2004-09-12 01:33:00,M6.9,6.942384061403573e-05,0.20985502004623413,96.0,59.0,200409112357,2N,10672,270.0,Eai,BG,350.0,42.2,4.0,-42.0,HOL,48.0,2.0,-48.0,LMSAL,390.0,2400.0,1400.0,3.0,2004-09-12 00:23:00,2004-09-12 00:38:00,3.0,837.0,133.0,30.0,CUL,2004-09-12 00:45:00,2004-09-13 21:00:00,14000.0,40.0,Multiple bands,2004-09-12 00:13:00,2004-09-12 01:30:00,2.0,77.0,2004-09-12 00:36:00,1328.0,Halo (BA),132.0,,,,,,,,,,-20,-42,2004-09-13 20:00:00,2004-09-13 21:05:00,2004-09-14 00:05:00,273.0,,2004-09-14 00:05:00,273.0,2004-09-15 12:40:00,44.15,3.0,3.0,39.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-09-13 20:03:00,24.0,,12.0,11.0,1515/1516,ESP? Shock arrives and then everything goes up.  2nd event??
87,23.0,SPE,2004-09-19 17:12:00,2004-09-19 18:10:00,FL-PK,AR,2004-09-19 16:46:00,2004-09-19 17:12:00,2004-09-19 17:39:00,M1.9,1.9e-05,0.039,53.0,26.0,2004-09-19 16:40:00,2004-09-19 17:12:00,2004-09-19 17:39:00,M2.8,2.8207599825691432e-05,0.056400272995233536,59.0,32.0,200409191640,,10672,100.0,Cao,B,349.0,58.0,3.0,58.0,SXI,58.0,3.0,58.0,LMSAL,130.0,520.0,170.0,1.0,2004-09-19 16:56:00,2004-09-19 17:13:00,3.0,604.0,180.0,25.0,SAG,2004-09-19 17:15:00,2004-09-19 18:15:00,14000.0,2500.0,Very sporadic,2004-09-19 17:16:00,2004-09-19 17:34:00,1.0,18.0,,,,,,,,,,,,,,,58,2004-09-19 18:10:00,2004-09-19 19:25:00,2004-09-20 01:00:00,57.0,,2004-09-20 01:00:00,57.0,2004-09-20 12:05:00,2.22,5.58,5.58,16.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1516,Missing CME imagery.
88,23.0,ESPE,2004-11-01 06:06:00,2004-11-01 06:10:00,CME,Farside,,,,,,,,,,,,,,,,,,,10684,,,,,,-4.0,124.0,BWL,,,,,,,,1.0,,,,,,,,2004-11-01 05:55:00,2004-11-01 07:25:00,3000.0,400.0,Ill defined tones,,,,,2004-11-01 06:06:00,925.0,146,273.0,,,,,,,,,,0,124,2004-11-01 06:10:00,2004-11-01 06:55:00,2004-11-01 08:05:00,63.0,,2004-11-01 08:05:00,63.0,2004-11-01 19:00:00,0.82,1.17,1.17,12.08,,,,,,,,,,,,,2004-11-01 06:35:00,2004-11-01 06:45:00,1.5,,,2004-11-01 07:55:00,0.48,0.17,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1523,
89,23.0,SPE,2004-11-07 16:06:00,2004-11-07 18:25:00,FL-PK,AR,2004-11-07 15:42:00,2004-11-07 16:06:00,2004-11-07 16:15:00,X2.0,0.0002,0.2,33.0,24.0,2004-11-07 15:38:00,2004-11-07 16:06:00,2004-11-07 16:15:00,X2.9,0.0002914946526288986,0.29113486409187317,37.0,28.0,200411071538,,10696,910.0,Ekc,BGD,26.0,19.2,9.0,17.0,SXI,19.2,9.0,17.0,LMSAL,42000.0,4600.0,6600.0,,2004-11-07 15:59:00,2004-11-07 16:16:00,1.0,697.0,180.0,25.0,SAG,2004-11-07 16:25:00,2004-11-08 20:00:00,14000.0,60.0,Chaotic w. multiple tones,2004-11-07 16:03:00,2004-11-08 09:59:00,1.0,1076.0,2004-11-07 16:54:00,1759.0,Halo (BA),0.0,,,,,,,,,,48,17,2004-11-07 18:25:00,2004-11-07 19:10:00,2004-11-08 01:15:00,495.0,,2004-11-08 01:15:00,495.0,2004-11-13 16:00:00,3.07,6.08,6.08,140.83,,2004-11-07 18:00:00,2004-11-07 19:15:00,2004-11-07 23:25:00,4.7,,,2004-11-08 05:30:00,3.15,4.17,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-11-07 18:31:00,41.0,-374,12.0,11.0,1523,3 shocks on 7 Nov.  This is last one
90,23.0,SPE,2004-11-09 17:19:00,2004-11-09 20:00:00,FL-PK,AR/FE,2004-11-09 16:59:00,2004-11-09 17:19:00,2004-11-09 17:32:00,M8.9,8.9e-05,0.094,33.0,20.0,2004-11-09 16:55:00,2004-11-09 17:19:00,2004-11-09 17:32:00,X1.2,0.0001282855519093573,0.13766039907932281,37.0,24.0,200411091655,2N,10696,600.0,Ekc,BGD,28.0,51.3,7.0,51.0,HOL,51.3,7.0,51.0,LMSAL,2000.0,1000.0,1400.0,2.0,2004-11-09 17:24:00,2004-11-09 17:27:00,3.0,1866.0,41.0,25.0,SAG,2004-11-09 17:35:00,2004-11-09 18:10:00,14000.0,5000.0,Intermittent tones,2004-11-09 17:06:00,2004-11-09 21:04:00,3.0,238.0,2004-11-09 17:26:00,2000.0,Halo (OA),299.0,,,,,,,,,,7,51,2004-11-09 20:00:00,2004-11-09 20:15:00,2004-11-09 21:30:00,82.0,,2004-11-09 21:30:00,82.4,2004-11-10 03:15:00,2.93,1.25,1.25,7.0,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1524,A 23-degree fragmented filament erupted south of the region at the same time as the flare.
91,23.0,ESPE,2004-11-10 02:13:00,2004-11-10 03:15:00,FL-PK,AR,2004-11-10 01:59:00,2004-11-10 02:13:00,2004-11-10 02:20:00,X2.5,0.00025,0.16,21.0,14.0,2004-11-10 01:55:00,2004-11-10 02:13:00,2004-11-10 02:20:00,X3.6,0.0003673560859169811,0.23197129368782043,25.0,18.0,200411100155,3B,10696,730.0,Ekc,BGD,28.0,49.6,9.0,49.0,LEA ,47.7,9.0,47.0,LMSAL,2700.0,650.0,5000.0,3.0,2004-11-10 02:07:00,2004-11-10 02:15:00,3.0,1000.0,260.0,70.0,CUL,2004-11-10 02:25:00,2004-11-10 03:40:00,14000.0,10000.0,Multiple tones,2004-11-10 02:36:00,2004-11-10 02:37:00,1.0,1.0,2004-11-10 02:26:00,3387.0,Halo (OA),302.0,,,,,,,,,,13,49,2004-11-10 03:15:00,2004-11-10 03:20:00,2004-11-10 16:55:00,424.0,,2004-11-10 16:55:00,424.0,2004-11-13 16:00:00,1.12,13.58,13.58,84.67,,,,,,,,,,,,,2004-11-10 03:20:00,2004-11-10 03:40:00,2.1,,,2004-11-10 12:50:00,1.12,0.33,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1524,
92,23.0,SPE,2005-01-15 23:02:00,2005-01-16 01:05:00,FL-PK,AR,2005-01-15 22:25:00,2005-01-15 23:02:00,2005-01-15 23:31:00,X2.6,0.00026,0.63,66.0,37.0,2005-01-15 22:23:00,2005-01-15 23:02:00,2005-01-15 23:31:00,X3.7,0.00037872156826779246,0.9131222367286682,68.0,39.0,200501152223,3B,10720,1540.0,Dkc,BD,180.0,16.1,14.0,8.0,HOL,55.2,-22.0,-52.0,LMSAL,33000.0,6400.0,21000.0,,2005-01-15 22:34:00,2005-01-15 22:58:00,2.0,1151.0,180.0,25.0,PAL,2005-01-15 23:00:00,2005-01-16 00:00:00,3000.0,40.0,Fast multi-component,2005-01-15 22:30:00,2005-01-16 10:32:00,2.0,722.0,2005-01-15 23:06:00,2861.0,Halo,323.0,,,,,,,,,,4,8,2005-01-16 01:05:00,2005-01-16 02:10:00,2005-01-16 18:40:00,365.0,,2005-01-16 18:40:00,365.0,2005-01-17 12:40:00,3.13,16.5,16.5,34.5,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1533,
93,23.0,ESPE,2005-01-17 09:52:00,2005-01-17 12:40:00,FL-PK,AR,2005-01-17 06:59:00,2005-01-17 09:52:00,2005-01-17 10:07:00,X3.8,0.00038,0.84,188.0,173.0,2005-01-17 09:06:00,2005-01-17 09:52:00,2005-01-17 10:04:00,X5.5,0.0005518989055417478,0.9855479001998901,58.0,46.0,200501170906,2F,10720,1630.0,Ekc,BD,178.0,26.2,13.0,23.0,SVI,29.8,15.0,26.0,LMSAL,39000.0,12000.0,16000.0,3.0,2005-01-17 09:44:00,2005-01-17 09:47:00,3.0,1578.0,65.0,25.0,LEA,2005-01-17 10:00:00,2005-01-18 02:00:00,14000.0,4000.0,Longest duration type IV,2005-01-17 09:00:00,2005-01-17 15:24:00,2.0,384.0,2005-01-17 09:54:00,2547.0,Halo,309.0,,,,,,,,,,2,23,2005-01-17 12:40:00,2005-01-17 12:40:00,2005-01-17 17:50:00,5040.0,,2005-01-17 17:50:00,5040.0,2005-01-20 06:50:00,2.8,5.17,5.17,66.17,NE,,,,,,,,,,,,2005-01-17 12:15:00,2005-01-17 17:10:00,28.1,,,2005-01-18 22:05:00,2.38,4.92,33.83,GLE 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1534,"PRF 1534  EL events 3540 3560 (flare optical/TypeII).  Wow. Very complicated flare w/multiple steps up! SWPC start is different.  CDAW selection makes sense
Note: CDAW Radio list end time and freq range do not match WIND_WAVES:  18/0200  14000-4000"
94,23.0,ESPE,2005-01-20 07:01:00,2005-01-20 06:50:00,FL-PK,AR,2005-01-20 06:36:00,2005-01-20 07:01:00,2005-01-20 07:26:00,X7.1,0.00071,1.3,50.0,25.0,2005-01-20 05:56:00,2005-01-20 07:01:00,2005-01-20 07:26:00,X10.1,0.0010177695658057928,1.9223196506500244,90.0,65.0,200501200556,2B,10720,1220.0,Ekc,BD,179.0,58.8,12.0,58.0,LEA,67.7,14.0,67.0,LMSAL,,8400.0,62000.0,3.0,2005-01-20 06:44:00,2005-01-20 07:00:00,3.0,712.0,160.0,18.0,CUL,2005-01-20 07:15:00,2005-01-21 16:30:00,14000.0,25.0,Very diffuse,2005-01-20 06:43:00,2005-01-20 16:59:00,2.0,616.0,2005-01-20 06:54:00,882.0,Halo,288.0,,,,,,,,,,-7,58,2005-01-20 06:50:00,2005-01-20 06:50:00,2005-01-20 08:10:00,1860.0,,2005-01-20 08:10:00,1860.0,2005-01-22 17:55:00,-0.18,1.33,1.33,59.08,,,,,,,,,,,,,2005-01-20 06:50:00,2005-01-20 07:10:00,652.0,,,2005-01-21 18:45:00,-0.18,0.33,35.92,GLE 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1534,
95,23.0,SPE,2005-05-13 16:57:00,2005-05-13 18:45:00,FL-PK,AR/ESP,2005-05-13 16:13:00,2005-05-13 16:57:00,2005-05-13 17:28:00,M8.0,8.9e-05,0.18,75.0,44.0,2005-05-13 16:24:00,2005-05-13 16:57:00,2005-05-13 17:28:00,X1.1,0.00011493725469335914,0.25292298197746277,64.0,33.0,200505131624,2B,10759,300.0,Ehi,B,54.0,16.9,12.0,-12.0,HOL,15.5,11.0,-11.0,LMSAL,420.0,2900.0,920.0,1.0,2005-05-13 16:41:00,2005-05-13 16:52:00,3.0,1349.0,81.0,25.0,SVI,2005-05-13 17:00:00,2005-05-15 02:10:00,5000.0,40.0,Major sun to Earth event,2005-05-13 16:45:00,2005-05-13 20:57:00,3.0,252.0,2005-05-13 17:12:00,1689.0,Halo,2.0,,,,,,,,,,15,-12,2005-05-13 18:45:00,2005-05-14 05:25:00,2005-05-14 19:45:00,338.0,RELAT,2005-05-15 02:40:00,3140.0,2005-05-15 11:20:00,12.47,14.33,21.25,29.92,,,,,,,,,,,,,,,,,,,,,,,2005-05-13 16:13:00,2005-05-13 16:57:00,2005-05-13 17:28:00,M8.0,2B,0.18,75.0,44.0,10759.0,300.0,Ehi,B,54.0,16.9,12.0,-12.0,RELAT,2005-05-13 16:41:00,2005-05-13 16:52:00,SVI,3.0,1349.0,2005-05-13 17:12:00,1689.0,,33.68,2005-05-15 02:05:00,-43.0,2005-05-15 02:38:00,67.0,-247,12.0,11.0,1550,ESP
96,23.0,ESPE,2005-06-16 20:22:00,2005-06-16 20:45:00,FL-PK,AR,2005-06-16 20:01:00,2005-06-16 20:22:00,2005-06-16 20:42:00,M4.0,4e-05,0.062,41.0,21.0,2005-06-16 19:58:00,2005-06-16 20:22:00,2005-06-16 20:42:00,M5.7,5.718369357055053e-05,0.09028201550245285,44.0,24.0,200506161958,SF,10775,230.0,Dho,B,57.0,87.0,9.0,87.0,HOL,89.0,8.0,89.0,LMSAL,,170.0,240.0,1.0,2005-06-16 20:10:00,2005-06-16 20:16:00,3.0,989.0,180.0,30.0,SAG,2005-06-16 20:25:00,2005-06-16 21:40:00,9000.0,1000.0,Very intermittent,2005-06-16 20:17:00,2005-06-16 20:27:00,1.0,10.0,,,,,,,,,,,,,,,87,2005-06-16 20:45:00,2005-06-16 22:00:00,2005-06-17 05:00:00,44.0,,2005-06-17 05:00:00,44.0,2005-06-17 18:05:00,1.63,7.0,7.0,20.08,,,,,,,,,,,,,2005-06-16 21:25:00,2005-06-16 23:15:00,2.9,,,2005-06-17 07:30:00,1.05,1.83,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1555,Missing CME imagery.
97,23.0,SPE,2005-07-13 14:49:00,2005-07-13 18:35:00,FL-PK,AR,2005-07-13 14:01:00,2005-07-13 14:49:00,2005-07-13 15:38:00,M5.0,5e-05,0.2,97.0,48.0,2005-07-13 13:55:00,2005-07-13 14:49:00,2005-07-13 15:38:00,M7.2,7.270368951139972e-05,0.28270819783210754,103.0,54.0,200507131355,SF,10786,270.0,Dac,BGD,56.0,80.2,10.0,80.0,HOL,89.0,10.0,89.0,LMSAL,6600.0,2000.0,5100.0,2.0,,,,,,,,2005-07-13 14:15:00,2005-07-13 15:05:00,14000.0,1000.0,Very intermittent,,,,,2005-07-13 14:30:00,1423.0,Halo,303.0,,,,,,,,,,-19,80,2005-07-13 18:35:00,2005-07-14 02:45:00,2005-07-14 02:55:00,12.5,,2005-07-14 02:55:00,12.5,2005-07-14 05:45:00,11.93,0.17,0.17,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1559,
98,23.0,SPE,2005-07-14 10:55:00,2005-07-14 13:05:00,FL-PK,AR,2005-07-14 10:16:00,2005-07-14 10:55:00,2005-07-14 11:29:00,X1.2,0.00012,0.39,73.0,39.0,2005-07-14 10:16:00,2005-07-14 10:55:00,2005-07-14 11:29:00,X1.8,0.00018567178631201386,0.5629374980926514,73.0,39.0,200507141016,,10786,370.0,Dkc,BGD,56.0,90.0,11.0,90.0,SXI,89.0,10.0,89.0,LMSAL,5400.0,3400.0,5300.0,1.0,,,,,,,,2005-07-14 10:55:00,2005-07-14 12:40:00,6000.0,800.0,Very fragmentary,2005-07-14 10:25:00,2005-07-14 11:46:00,2.0,81.0,2005-07-14 10:54:00,2115.0,Halo,296.0,,,,,,,,,,-1,90,2005-07-14 13:05:00,2005-07-14 14:00:00,2005-07-15 03:45:00,134.0,,2005-07-15 03:45:00,134.0,2005-07-17 00:50:00,3.08,13.75,13.75,58.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1559,
99,23.0,SPE,2005-07-17 11:30:00,2005-07-17 14:15:00,CME,Farside,,,,,,,,,,,,,,,,,,,10786,,,,56.0,,9.0,116.0,EST,,,,,,,,,,,,,,,,2005-07-17 11:50:00,2005-07-17 13:45:00,7000.0,300.0,Extremely intermittent,,,,,2005-07-17 11:30:00,1527.0,Halo,316.0,,,,,,,,,,0,116,2005-07-17 14:15:00,2005-07-17 17:35:00,2005-07-17 22:40:00,22.0,,2005-07-17 22:40:00,22.0,2005-07-18 10:10:00,6.08,5.08,5.08,16.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1559,
100,23.0,SPE,2005-07-27 05:02:00,2005-07-27 22:45:00,FL-PK,Farside,2005-07-27 04:33:00,2005-07-27 05:02:00,2005-07-27 05:30:00,M3.7,0.00037,0.079,,,2005-07-27 04:28:00,2005-07-27 05:02:00,2005-07-27 05:30:00,M5.3,5.3709085477748886e-05,0.11389429867267609,62.0,34.0,200507270428,,10792,,,,57.0,,12.0,-100.0,EST,,11.0,-90.0,CDAW,310.0,,,,2005-07-27 04:44:00,2005-07-27 04:57:00,2.0,1588.0,180.0,25.0,PAL,2005-07-27 05:20:00,2005-07-27 06:45:00,1000.0,450.0,,2005-07-27 04:46:00,2005-07-27 05:24:00,1.0,81.0,2005-07-24 13:54:00,2528.0,Halo,85.0,,,,,,,,,,-3788,-100,2005-07-27 22:45:00,2005-07-27 23:00:00,2005-07-29 17:15:00,41.0,,2005-07-29 17:15:00,41.0,2005-08-01 10:40:00,17.97,42.25,42.25,107.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,1561,AR 10792 used to be 10786. ERNE protons begin rise early on 25Jul - not visible on GOES.Cane source 24/1354 2528 km/s CME Halo P=85
