SEP Reference Time,Flare Magnitude Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Xray Time To Peak,Flare Catalog ID,Event Source Latitude,Event Source Longitude,Event Source Reference,CDAW CME Speed,GOES Xray Satellite,Comments
1991-04-22 07:07:00,5.9e-06,,,,C8.4,0.0000084286,,,,,-28.0,90.0,IGR List,,,IGR List
1991-05-10 06:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1991-05-13 01:35:00,8.2e-05,,,,X1.1,0.00011714,,,,,-7.0,90.0,IGR List,,,IGR List
1991-05-18 05:06:00,0.00028,,,,X4.0,0.00040000,,,,,32.0,85.0,IGR List,,,IGR List
1991-05-22 06:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1991-09-06 12:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1991-11-15 22:38:00,0.00015,,,,X2.1,0.00021429,,,,,-14.0,19.0,IGR List,,,IGR List
1991-11-17 03:46:00,1.5e-05,,,,M2.1,0.000021429,,,,,-13.0,33.0,IGR List,,,IGR List
1991-12-21 08:13:00,5.2e-06,,,,C7.4,0.0000074286,,,,,6.0,74.0,IGR List,,,IGR List
1991-12-29 06:10:00,3.8e-06,,,,C5.4,0.0000054286,,,,,,,IGR List,,,IGR List
1991-12-30 10:21:00,4.6e-05,,,,M6.5,0.000065714,,,,,-17.0,23.0,IGR List,,,IGR List
1992-01-04 14:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1992-02-17 09:53:00,3.6e-06,,,,C5.1,0.0000051429,,,,,12.0,39.0,IGR List,,,IGR List
1992-02-27 12:56:00,0.00033,,,,X4.7,0.00047143,,,,,6.0,2.0,IGR List,,,IGR List
1992-03-07 12:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1992-03-16 00:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1992-05-19 18:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1992-05-24 05:33:00,1.1e-06,,,,C1.5,0.0000015714,,,,,,,IGR List,,,IGR List
1992-08-03 06:29:00,4.8e-05,,,,M6.8,0.000068571,,,,,-9.0,-68.0,IGR List,,,IGR List
1992-11-23 20:23:00,4.4e-05,,,,M6.2,0.000062857,,,,,-8.0,89.0,IGR List,,,IGR List
