Date,SEP Start Hour,Maximum Proton Energy,Proton Intensity,Type III Time,Flare Start Hour,H-alpha Location,CME First Appearance Hour,CME First Look Time,CME Width,CME Speed,Group,Flare Xray Start Time Deprecated,Flare Xray Peak Time Deprecated,Flare Class Deprecated,Flare Magnitude Deprecated,Flare Time to Peak Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Time To Peak,Flare Catalog ID,GOES Xray Satellite,Radio Type III Start Time,Radio Type III End Time,Radio TyII Imp,CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Mean Position Angle,Event Source Latitude,Event Source Longitude,Shock Passage Speed,SEP Reference Start,Comments
1999-06-27,11,60,0.002,0835-0840,834,22N;026W,906,1999-06-27 09:06:00,40,903,1,1999-06-27 08:34:00,1999-06-27 08:44:00,X1,0.0001,10,1999-06-27 08:34:00,1999-06-27 08:44:00,,X1.4,0.00014286,,,,,,1999-06-27 08:35:00,1999-06-27 08:40:00,2,1999-06-27 09:06:06,903,86,349,22,26,,1999-06-27 11:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity
1999-06-29,12,80,0.0006,0455-0515,501,18N;007E,554,1999-06-29 05:54:00,360,589,,1999-06-29 05:01:00,1999-06-29 05:10:00,M1,1.00E-05,9,1999-06-29 05:01:00,1999-06-29 05:10:00,,M1.4,1.43E-05,,,,,,1999-06-29 04:55:00,1999-06-29 05:15:00,2,1999-06-29 05:54:06,589,164,58,18,-7,,1999-06-29 12:00:00,Event has a slow rise. Passing shock with no particle increase
1999-07-25,20,70,0.0008,~1325,1308,N;095W,1331,1999-07-25 13:31:00,90,1389,,1999-07-25 13:08:00,1999-07-25 13:38:00,M2,2.00E-05,30,1999-07-25 13:08:00,1999-07-25 13:38:00,,M2.8,2.86E-05,,,,,,1999-07-25 13:25:00,,1,1999-07-25 13:31:21,1389,360,Halo,,95,,1999-07-25 20:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity; Nothern Event
1999-07-31,12,30,0.0006,~1150,1100,25N;031E,1126,1999-07-31 11:26:00,150,1079,,1999-07-31 11:00:00,,C4,4.00E-06,?,1999-07-31 10:21:00,1999-07-31 10:29:00,1999-07-31 10:37:00,C6.5,6.57E-06,0.004272857,16,8,199907311021,8,1999-07-31 11:50:00,,,1999-07-31 11:26:05,1079,268,33,25,-31,,1999-07-31 12:00:00,No Type II data available
1999-08-28,20,70,0.0005,1755-1810,1752,26S;014W,1826,1999-08-28 18:26:00,110,462,,1999-08-28 17:52:00,1999-08-28 18:05:00,X1,0.0001,13,1999-08-28 17:48:00,1999-08-28 18:05:00,1999-08-28 18:18:00,X1.6,0.000161429,0.163728863,30,17,199908281748,8,1999-08-28 17:55:00,1999-08-28 18:10:00,,1999-08-28 18:26:24,462,245,120,-26,14,,1999-08-28 20:00:00,No Type II data available
1999-11-17,12,60,0.002,0950-0955,947,17N;021E,,,,,1,1999-11-17 09:47:00,1999-11-17 09:57:00,M7,7.00E-05,10,1999-11-17 09:47:00,1999-11-17 09:57:00,1999-11-17 10:02:00,X1.0,0.000106429,0.05230543,15,10,199911170947,8,1999-11-17 09:50:00,1999-11-17 09:55:00,,,,,,17,-21,,1999-11-17 12:00:00,Event has a slow rise. CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap. Passing shock not related to the source solar activity caused a related increase of particle intensity; No Type II data available
1999-12-28,2,100,0.002,0040-0050,39,20N;056W,54,1999-12-28 00:54:00,60,672,1,1999-12-28 00:39:00,1999-12-28 00:48:00,M5,5.00E-05,9,1999-12-28 00:34:00,1999-12-28 00:48:00,1999-12-28 00:52:00,M6.5,6.50E-05,0.027800228,18,14,199912280034,8,1999-12-28 00:40:00,1999-12-28 00:50:00,3,1999-12-28 00:54:05,672,82,293,20,56,,1999-12-28 02:00:00,
2000-01-09,14,60,0.006,1415-1420,,N;120W,,,,,4,,,,,,,,,,,,,,,,2000-01-09 14:15:00,2000-01-09 14:20:00,,,,,,,120,,2000-01-09 14:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap. Passing shock not related to the source solar activity caused a related increase of particle intensity; Nothern Event; No Type II data available
2000-01-18,18,110,0.009,1710-1735,1707,19S;011E,1754,2000-01-18 17:54:00,120,739,,2000-01-18 17:07:00,2000-01-18 17:27:00,M4,4.00E-05,20,2000-01-18 17:02:00,2000-01-18 17:26:00,2000-01-18 17:44:00,M5.6,5.64E-05,0.083148859,42,24,200001181702,8,2000-01-18 17:10:00,2000-01-18 17:35:00,,2000-01-18 17:54:05,739,360,Halo,-19,-11,530,2000-01-18 18:00:00,No Type II data available
2000-02-12,5,80,0.009,0405-0420,351,26N;024W,431,2000-02-12 04:31:00,110,1107,,2000-02-12 03:51:00,2000-02-12 04:10:00,M1,1.00E-05,19,2000-02-12 03:51:00,2000-02-12 04:10:00,,M1.4,1.43E-05,,,,,,2000-02-12 04:05:00,2000-02-12 04:20:00,3,2000-02-12 04:31:20,1107,360,Halo,26,24,810,2000-02-12 05:00:00,
2000-02-17,21,120,0.009,2025-2040,2017,29S;007E,2130,2000-02-17 21:30:00,360,728,,2000-02-17 20:17:00,2000-02-17 20:35:00,M1,1.00E-05,18,2000-02-17 20:17:00,2000-02-17 20:35:00,,M1.4,1.43E-05,,,,,,2000-02-17 20:25:00,2000-02-17 20:40:00,3,2000-02-17 21:30:08,728,360,Halo,-29,-7,570,2000-02-17 21:00:00,
2000-02-18,10,150,0.075,0925-0930,,N;120W,954,2000-02-18 09:54:00,80,890,2,,,,,,,,,,,,,,,,2000-02-18 09:25:00,2000-02-18 09:30:00,,2000-02-18 09:54:05,890,118,286,,120,,2000-02-18 10:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity; Nothern Event; No Type II data available
2000-03-02,9,120,0.006,0825-0835,820,14S;052W,1154,2000-03-02 11:54:00,60,776,1,2000-03-02 08:20:00,2000-03-02 08:28:00,X1,0.0001,8,2000-03-02 08:17:00,2000-03-02 08:28:00,2000-03-02 08:31:00,X1.6,0.000162857,0.055111457,14,11,200003020817,8,2000-03-02 08:25:00,2000-03-02 08:35:00,2,,,,,-14,52,,2000-03-02 09:00:00,
2000-03-03,3,120,0.004,0215-0225,208,15S;060W,230,2000-03-03 02:30:00,80,841,1,2000-03-03 02:08:00,2000-03-03 02:14:00,M4,4.00E-05,6,2000-03-03 02:03:00,2000-03-03 02:14:00,2000-03-03 02:22:00,M5.5,5.53E-05,0.030558001,19,11,200003030203,8,2000-03-03 02:15:00,2000-03-03 02:25:00,0,2000-03-03 02:30:05,841,98,233,-15,60,,2000-03-03 03:00:00,No clear evidence of Type II burst in dynamic spectra
2000-03-22,20,80,0.004,1845-2015,1834,14N;057W,1931,2000-03-22 19:31:00,80,478,,2000-03-22 18:34:00,2000-03-22 18:48:00,X1,0.0001,14,2000-03-22 18:41:00,2000-03-22 18:48:00,2000-03-22 18:54:00,X1.5,0.000155714,0.104425713,13,7,200003221841,8,2000-03-22 18:45:00,2000-03-22 20:15:00,,2000-03-22 19:31:19,478,154,333,14,57,,2000-03-22 20:00:00,No Type II data available
2000-03-24,10,80,0.002,0750-0755,741,15N;082W,,,,,,2000-03-24 07:41:00,2000-03-24 07:52:00,X2,0.0002,11,2000-03-24 07:37:00,2000-03-24 07:52:00,2000-03-24 07:59:00,X2.6,0.000261429,0.167291999,22,15,200003240737,8,2000-03-24 07:50:00,2000-03-24 07:55:00,2,,,,,15,82,,2000-03-24 10:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap
2000-04-04,16,80,0.117,1515-1535,1512,16N;066W,1632,2000-04-04 16:32:00,60,1188,4,2000-04-04 15:12:00,2000-04-04 15:41:00,C9,9.00E-06,29,2000-04-04 15:06:00,2000-04-04 15:41:00,2000-04-04 16:07:00,M1.3,1.40E-05,0.035357144,61,35,200004041506,8,2000-04-04 15:15:00,2000-04-04 15:35:00,,2000-04-04 16:32:37,1188,360,Halo,16,66,870,2000-04-04 16:00:00,No Type II data available
2000-04-23,14,150,0.007,~1225,,N;120W,1230,2000-04-23 12:30:00,120,1187,,,,,,,,,,,,,,,,,2000-04-23 12:25:00,,,2000-04-23 12:54:05,1187,360,Halo,,120,,2000-04-23 14:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity; Nothern Event; No Type II data available
2000-04-27,16,60,0.0007,~1420,1404,N;095W,1430,2000-04-27 14:30:00,50,1110,,2000-04-27 14:04:00,2000-04-27 14:40:00,C1,1.00E-06,36,2000-04-27 14:04:00,2000-04-27 14:40:00,,C1.4,1.43E-06,,,,,,2000-04-27 14:20:00,,,2000-04-27 14:30:05,1110,138,298,,95,,2000-04-27 16:00:00,Nothern Event; No Type II data available
2000-05-01,11,50,0.0009,1020-1025,1016,20N;054W,1054,2000-05-01 10:54:00,20,1360,1,2000-05-01 10:16:00,2000-05-01 10:27:00,M1,1.00E-05,11,2000-05-01 10:12:00,2000-05-01 10:26:00,2000-05-01 10:34:00,M1.5,1.59E-05,0.011269372,22,14,200005011012,8,2000-05-01 10:20:00,2000-05-01 10:25:00,0,2000-05-01 10:54:05,1360,54,323,20,54,,2000-05-01 11:00:00,No clear evidence of Type II burst in dynamic spectra
2000-05-04,12,60,0.001,1100-1105,1057,20S;090W,1126,2000-05-04 11:26:00,70,1404,1,2000-05-04 10:57:00,2000-05-04 11:08:00,M8,8.00E-05,11,2000-05-04 10:57:00,2000-05-04 11:08:00,,X1.1,0.00011429,,,,,,2000-05-04 11:00:00,2000-05-04 11:05:00,2,2000-05-04 11:26:05,1404,170,235,-20,90,,2000-05-04 12:00:00,
2000-05-05,20,50,0.001,1525-1530,,N;110W,1550,2000-05-05 15:50:00,120,1594,,,,M2,2.00E-05,,,,,,,,,,,,2000-05-05 15:25:00,2000-05-05 15:30:00,,2000-05-05 15:50:05,1594,360,Halo,,110,,2000-05-05 20:00:00,Event has a slow rise; Nothern Event; No Type II data available
2000-05-10,27,80,0.0006,1930-1945,1926,14N;020E,2006,2000-05-10 20:06:00,130,641,,2000-05-10 19:26:00,2000-05-10 19:37:00,C9,9.00E-06,11,2000-05-10 19:22:00,2000-05-10 19:41:00,2000-05-10 20:14:00,M1.2,1.26E-05,0.027408857,52,19,200005101922,8,2000-05-10 19:30:00,2000-05-10 19:45:00,,2000-05-10 20:06:07,641,205,83,14,-20,603,2000-05-11 03:00:00,Event has a slow rise; No Type II data available
2000-05-15,18,70,0.007,1600-1605,1546,22S;068W,1626,2000-05-15 16:26:00,70,1212,1,2000-05-15 15:46:00,2000-05-15 16:01:00,C8,8.00E-06,15,2000-05-15 15:44:00,2000-05-15 16:00:00,2000-05-15 16:20:00,M1.1,1.12E-05,0.020039143,36,16,200005151544,8,2000-05-15 16:00:00,2000-05-15 16:05:00,,2000-05-15 16:26:05,1212,165,257,-22,68,,2000-05-15 18:00:00,No Type II data available
2000-05-23,22,30,0.002,2045-2050,2048,23N;041W,2130,2000-05-23 21:30:00,50,475,1,2000-05-23 20:48:00,2000-05-23 20:53:00,M1,1.00E-05,5,2000-05-23 20:43:00,2000-05-23 20:53:00,2000-05-23 21:01:00,M1.3,1.36E-05,0.010332857,18,10,200005232043,8,2000-05-23 20:45:00,2000-05-23 20:50:00,0,2000-05-23 21:30:10,475,62,306,23,41,,2000-05-23 22:00:00,Passing shock with no particle increase; No clear evidence of Type II burst in dynamic spectra
2000-06-06,18,150,0.02,1510-1545,1458,20N;014E,1554,2000-06-06 15:54:00,180,1119,5,2000-06-06 14:58:00,2000-06-06 15:25:00,X2,0.0002,27,2000-06-06 14:58:00,2000-06-06 15:25:00,2000-06-06 15:40:00,X3.3,0.000331429,0.520788014,42,27,200006061458,8,2000-06-06 15:10:00,2000-06-06 15:45:00,,2000-06-06 15:54:05,1119,360,Halo,20,-14,990,2000-06-06 18:00:00,Event has a slow rise; No Type II data available
2000-06-10,18,200,0.79,1700-1715,1640,22N;040W,1708,2000-06-10 17:08:00,120,1108,2,2000-06-10 16:40:00,2000-06-10 17:02:00,M5,5.00E-05,22,2000-06-10 16:32:00,2000-06-10 17:00:00,2000-06-10 17:19:00,M7.4,7.49E-05,0.107813142,47,28,200006101632,8,2000-06-10 17:00:00,2000-06-10 17:15:00,,2000-06-10 17:08:05,1108,360,Halo,22,40,,2000-06-10 18:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity; No Type II data available
2000-06-15,21,30,0.001,1945-1950,1938,20N;062W,1950,2000-06-15 19:50:00,70,1081,1,2000-06-15 19:38:00,2000-06-15 19:57:00,M2,2.00E-05,19,2000-06-15 19:35:00,2000-06-15 19:56:00,2000-06-15 20:19:00,M2.6,2.67E-05,0.045774002,44,21,200006151935,8,2000-06-15 19:45:00,2000-06-15 19:50:00,,2000-06-15 20:06:05,1081,116,298,20,62,,2000-06-15 21:00:00,No Type II data available
2000-06-17,5,70,0.004,~0230,225,22N;072W,328,2000-06-17 03:28:00,60,927,1,2000-06-17 02:25:00,2000-06-17 02:37:00,M4,4.00E-05,12,2000-06-17 02:17:00,2000-06-17 02:37:00,2000-06-17 02:45:00,M5.0,5.09E-05,0.038474571,28,20,200006170217,8,2000-06-17 02:30:00,,0,2000-06-17 03:28:13,857,133,298,22,72,,2000-06-17 05:00:00,No clear evidence of Type II burst in dynamic spectra
2000-06-18,26,70,0.014,0150-0155,152,23N;085W,210,2000-06-18 02:10:00,70,629,1,2000-06-18 01:52:00,2000-06-18 01:59:00,X1,0.0001,7,2000-06-18 01:50:00,2000-06-18 01:59:00,2000-06-18 02:03:00,X1.4,0.000144286,0.05132743,13,9,200006180150,8,2000-06-18 01:50:00,2000-06-18 01:55:00,,2000-06-18 02:10:07,629,132,307,23,85,,2000-06-19 02:00:00,No Type II data available
2000-06-23,16,70,0.008,1420-1425,1418,23N;072W,1454,2000-06-23 14:54:00,60,847,1,2000-06-23 14:18:00,2000-06-23 14:31:00,M3,3.00E-05,13,2000-06-23 14:15:00,2000-06-23 14:31:00,2000-06-23 14:46:00,M4.3,4.36E-05,0.047478002,31,16,200006231415,8,2000-06-23 14:20:00,2000-06-23 14:25:00,0,2000-06-23 14:54:05,847,198,282,23,72,,2000-06-23 16:00:00,No clear evidence of Type II burst in dynamic spectra
2000-06-25,12,70,0.007,0740-0745,717,16N;055W,754,2000-06-25 07:54:00,70,1617,3,2000-06-25 07:17:00,2000-06-25 07:52:00,M2,2.00E-05,35,2000-06-25 07:13:00,2000-06-25 07:51:00,2000-06-25 08:21:00,M2.8,2.83E-05,0.063271284,68,38,200006250713,8,2000-06-25 07:40:00,2000-06-25 07:45:00,1,2000-06-25 07:54:13,1617,165,262,16,55,,2000-06-25 12:00:00,
2000-06-28,20,70,0.0006,1845-1905,1848,N;095W?,1931,2000-06-28 19:31:00,90,1198,1,2000-06-28 18:48:00,2000-06-28 19:10:00,C4,4.00E-06,22,2000-06-28 18:45:00,2000-06-28 19:10:00,2000-06-28 19:39:00,C5.4,5.43E-06,0.013308343,54,25,200006281845,8,2000-06-28 18:45:00,2000-06-28 19:05:00,,2000-06-28 19:31:55,1198,134,270,,95,,2000-06-28 20:00:00,Location uncertain; Nothern Event; No Type II data available
2000-07-10,24,70,0.002,2125-2130,2105,18N;049E,2150,2000-07-10 21:50:00,130,1352,,2000-07-10 21:05:00,2000-07-10 21:42:00,M6,6.00E-05,37,2000-07-10 21:16:00,2000-07-10 21:42:00,2000-07-10 22:16:00,M8.2,8.27E-05,0.25738287,60,26,200007102116,8,2000-07-10 21:25:00,2000-07-10 21:30:00,3,2000-07-10 21:50:06,1352,289,67,18,-49,,2000-07-11 00:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity
2000-07-14,11,900,45,1020-1050,1003,22N;007W,1054,2000-07-14 10:54:00,360,1674,4,2000-07-14 10:03:00,2000-07-14 10:22:00,X6,0.0006,19,2000-07-14 10:03:00,2000-07-14 10:24:00,2000-07-14 10:43:00,X8.2,0.000821429,1.094373465,40,21,200007141003,8,2000-07-14 10:20:00,2000-07-14 10:50:00,2,2000-07-14 10:54:07,1674,360,Halo,22,7,1600,2000-07-14 11:00:00,
2000-07-22,12,150,0.19,1130-1135,1117,14N;056W,1154,2000-07-22 11:54:00,80,1230,3,2000-07-22 11:17:00,2000-07-22 11:34:00,M4,4.00E-05,17,2000-07-22 11:06:00,2000-07-22 11:34:00,2000-07-22 12:03:00,M5.3,5.33E-05,0.106913142,57,28,200007221106,8,2000-07-22 11:30:00,2000-07-22 11:35:00,2,2000-07-22 11:54:05,1230,229,259,14,56,,2000-07-22 12:00:00,
2000-07-27,24,120,0.031,~1930,,N;120W,1954,2000-07-27 19:54:00,360,905,,,,,,,,,,,,,,,,,2000-07-27 19:30:00,,,2000-07-27 19:54:06,905,360,Halo,,120,,2000-07-28 00:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity; Nothern Event; No Type II data available
2000-08-09,50,60,0.0001,1525-1545,1519,11N;011W,1630,2000-08-09 16:30:00,360,702,5,2000-08-09 15:19:00,2000-08-09 16:21:00,C2,2.00E-06,62,2000-08-09 15:19:00,2000-08-09 16:21:00,,C2.8,2.86E-06,,,,,,2000-08-09 15:25:00,2000-08-09 15:45:00,,2000-08-09 16:30:05,702,360,Halo,11,11,805,2000-08-11 02:00:00,Event has a slow rise; No Type II data available
2000-08-12,11,60,0.003,1000-1005,945,17S;079W,1035,2000-08-12 10:35:00,60,662,1,2000-08-12 09:45:00,2000-08-12 09:56:00,M1,1.00E-05,11,2000-08-12 09:41:00,2000-08-12 09:56:00,2000-08-12 10:09:00,M1.6,1.67E-05,0.017352343,28,15,200008120941,8,2000-08-12 10:00:00,2000-08-12 10:05:00,2,2000-08-12 10:35:14,662,168,285,-17,79,,2000-08-12 11:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity
2000-09-04,20,,5.00E-05,0545-0625,649,12N;037W,606,2000-09-04 06:06:00,90,849,5,2000-09-04 06:49:00,2000-09-04 06:52:00,C1,1.00E-06,3,2000-09-04 06:49:00,2000-09-04 06:52:00,,C1.4,1.43E-06,,,,,,2000-09-04 05:45:00,2000-09-04 06:25:00,0,2000-09-04 06:06:05,849,145,327,12,37,713,2000-09-04 20:00:00,Event has a slow rise; No clear evidence of Type II burst in dynamic spectra
2000-09-07,21,60,0.001,~2055,2032,06N;047W,2130,2000-09-07 21:30:00,90,422,,2000-09-07 20:32:00,2000-09-07 20:55:00,C7,7.00E-06,23,2000-09-07 20:28:00,2000-09-07 20:55:00,2000-09-07 21:12:00,M1.0,1.03E-05,0.019053429,44,27,200009072028,8,2000-09-07 20:55:00,,2,2000-09-07 21:30:08,422,169,297,6,47,,2000-09-07 21:00:00,
2000-09-09,10,70,0.003,~0830,828,07N;067W,856,2000-09-09 08:56:00,70,554,,2000-09-09 08:28:00,2000-09-09 08:49:00,M2,2.00E-05,21,2000-09-09 08:28:00,2000-09-09 08:49:00,,M2.8,2.86E-05,,,,,,2000-09-09 08:30:00,,3,2000-09-09 08:56:59,554,180,271,7,67,,2000-09-09 10:00:00,
2000-09-12,13,150,0.64,1145-1150,1131,17S;009W,1154,2000-09-12 11:54:00,100,1550,2,2000-09-12 11:31:00,2000-09-12 12:13:00,M1,1.00E-05,42,2000-09-12 11:20:00,2000-09-12 12:12:00,2000-09-12 13:20:00,M1.4,1.44E-05,0.069495432,120,52,200009121120,8,2000-09-12 11:45:00,2000-09-12 11:50:00,1,2000-09-12 11:54:05,1550,360,Halo,-17,9,640,2000-09-12 13:00:00,
2000-09-19,11,70,0.004,0810-0820,806,14N;046W,850,2000-09-19 08:50:00,60,766,1,2000-09-19 08:06:00,2000-09-19 08:26:00,M5,5.00E-05,20,2000-09-19 08:02:00,2000-09-19 08:26:00,2000-09-19 08:42:00,M7.3,7.33E-05,0.103984289,40,24,200009190802,8,2000-09-19 08:10:00,2000-09-19 08:20:00,1,2000-09-19 08:50:05,766,76,283,14,46,,2000-09-19 11:00:00,
2000-10-09,30,70,0.002,2320-2345,2319,01N;014W,2350,2000-10-09 23:50:00,360,798,5,2000-10-09 23:19:00,2000-10-09 23:43:00,C7,7.00E-06,24,2000-10-09 23:14:00,2000-10-09 23:43:00,2000-10-10 00:23:00,C9.5,9.59E-06,0.025176857,69,29,200010092314,8,2000-10-09 23:20:00,2000-10-09 23:45:00,2,2000-10-09 23:50:05,798,175,295,1,14,590,2000-10-10 06:00:00,Event has a slow rise
2000-10-16,7,120,0.12,~0650,640,N;095W,727,2000-10-16 07:27:00,90,1336,2,2000-10-16 06:40:00,2000-10-16 07:28:00,M2,2.00E-05,48,2000-10-16 06:40:00,2000-10-16 07:28:00,,M2.8,2.86E-05,,,,,,2000-10-16 06:50:00,,,2000-10-16 07:27:21,1336,360,Halo,,95,,2000-10-16 07:00:00,Nothern Event; No Type II data available
2000-10-25,13,120,0.065,~0955,845,S;120W,826,2000-10-25 08:26:00,130,770,3,2000-10-25 08:45:00,2000-10-25 11:25:00,C4,4.00E-06,160,2000-10-25 08:45:00,2000-10-25 11:25:00,,C5.7,5.71E-06,,,,,,2000-10-25 09:55:00,,,2000-10-25 08:26:05,770,360,Halo,,120,580,2000-10-25 13:00:00,Southern event; No Type II data available
2000-10-29,12,70,0.0003,0150-0210,128,25S;035E,,,,,5,2000-10-29 01:28:00,2000-10-29 01:57:00,M4,4.00E-05,29,2000-10-29 01:40:00,2000-10-29 01:56:00,2000-10-29 02:08:00,M6.4,6.41E-05,0.074597143,28,16,200010290140,8,2000-10-29 01:50:00,2000-10-29 02:10:00,2,,,,,-25,-35,650,2000-10-29 12:00:00,Event has a slow rise. CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap
2000-11-08,23,300,,2255-2335,2242,10N;075W,2306,2000-11-08 23:06:00,120,1738,4,2000-11-08 22:42:00,2000-11-08 23:28:00,M7,7.00E-05,46,2000-11-08 22:40:00,2000-11-08 23:28:00,2000-11-09 00:05:00,X1.0,0.000106857,0.303546011,85,48,200011082240,8,2000-11-08 22:55:00,2000-11-08 23:35:00,0,2000-11-08 23:06:05,1738,170,271,10,75,1300,2000-11-08 23:00:00,No clear evidence of Type II burst in dynamic spectra
2000-11-24,6,300,0.07,0500-0525,455,22N;003W,530,2000-11-24 05:30:00,360,1289,3,2000-11-24 04:55:00,2000-11-24 05:02:00,X2,0.0002,7,2000-11-24 04:55:00,2000-11-24 05:02:00,2000-11-24 05:08:00,X2.8,0.000287143,0.125297144,13,7,200011240455,8,2000-11-24 05:00:00,2000-11-24 05:25:00,3,2000-11-24 05:30:05,1289,360,Halo,22,3,,2000-11-24 06:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity
2000-11-24,16,300,0.9,1455-1525,1451,22N;007W,1530,2000-11-24 15:30:00,360,1245,2,2000-11-24 14:51:00,2000-11-24 15:13:00,X2,0.0002,22,2000-11-24 14:51:00,2000-11-24 15:13:00,,X2.8,0.00028571,,,,,,2000-11-24 14:55:00,2000-11-24 15:25:00,1,2000-11-24 15:30:05,1245,360,Halo,22,7,,2000-11-24 16:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity
2000-11-25,18,300,,0100-0135,59,07N;050E,131,2000-11-25 01:31:00,120,2519,5,2000-11-25 00:59:00,2000-11-25 01:31:00,M8,8.00E-05,32,2000-11-25 00:50:00,2000-11-25 01:31:00,2000-11-25 02:02:00,X1.1,0.000118286,0.30870086,72,41,200011250050,8,2000-11-25 01:00:00,2000-11-25 01:35:00,3,2000-11-25 01:31:58,2519,360,Halo,7,-50,1000,2000-11-25 18:00:00,Event has a slow rise
2000-12-28,15,120,0.007,~1205,,N;120W,1206,2000-12-28 12:06:00,360,930,,,,,,,,,,,,,,,,,2000-12-28 12:05:00,,,2000-12-28 12:06:05,930,360,Halo,,120,,2000-12-28 15:00:00,Nothern Event; No Type II data available
2001-01-05,19,70,0.01,~1650,,N;120W,1706,2001-01-05 17:06:00,140,828,,,,C2,2.00E-06,,,,,,,,,,,,2001-01-05 16:50:00,,,2001-01-05 17:06:05,828,360,Halo,,120,,2001-01-05 19:00:00,Nothern Event; No Type II data available
2001-01-20,29,120,0.003,1845-1855,1833,08S;041E,1932,2001-01-20 19:32:00,130,1507,5,2001-01-20 18:33:00,2001-01-20 18:47:00,M1,1.00E-05,14,2001-01-20 18:33:00,2001-01-20 18:47:00,,M1.4,1.43E-05,,,,,,2001-01-20 18:45:00,2001-01-20 18:55:00,3,2001-01-20 19:31:50,839,360,Halo,-8,-41,680,2001-01-21 05:00:00,Event has a slow rise
2001-01-26,14,50,0.001,1150-1155,1150,27S;057W,1206,2001-01-26 12:06:00,40,928,,2001-01-26 11:50:00,2001-01-26 12:06:00,C2,2.00E-06,16,2001-01-26 11:50:00,2001-01-26 12:06:00,,C2.8,2.86E-06,,,,,,2001-01-26 11:50:00,2001-01-26 11:55:00,2,2001-01-26 12:06:05,928,176,276,-27,57,,2001-01-26 14:00:00,
2001-01-28,17,150,0.29,1540-1605,1540,04S;059W,1554,2001-01-28 15:54:00,120,916,2,2001-01-28 15:40:00,2001-01-28 16:00:00,M2,2.00E-05,20,2001-01-28 15:40:00,2001-01-28 16:00:00,,M2.8,2.86E-05,,,,,,2001-01-28 15:40:00,2001-01-28 16:05:00,,2001-01-28 15:54:05,916,360,Halo,-4,59,630,2001-01-28 17:00:00,No Type II data available
2001-02-11,3,70,0.0048,0100-0110,57,24N;057W,131,2001-02-11 01:31:00,80,1183,,2001-02-11 00:57:00,2001-02-11 01:23:00,C7,7.00E-06,26,2001-02-11 00:51:00,2001-02-11 01:22:00,2001-02-11 01:47:00,C9.3,9.37E-06,0.019463401,56,31,200102110051,8,2001-02-11 01:00:00,2001-02-11 01:10:00,2,2001-02-11 01:31:48,1183,360,Halo,24,57,,2001-02-11 03:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity
2001-02-26,8,60,0.0048,~0505,,N;120W,754,2001-02-26 05:30:05,100,851,1,,,,,,,,,,,,,,,,2001-02-26 05:05:00,,,2001-02-26 05:30:05,851,152,246,,120,,2001-02-26 08:00:00,Nothern Event; No Type II data available
2001-03-10,8,60,0.002,0400-0410,400,27N;042W,426,2001-03-10 04:26:00,20,819,1,2001-03-10 04:00:00,2001-03-10 04:05:00,M7,7.00E-05,5,2001-03-10 03:55:00,2001-03-10 04:05:00,2001-03-10 04:07:00,M9.5,9.58E-05,0.021190403,12,10,200103100355,8,2001-03-10 04:00:00,2001-03-10 04:10:00,2,2001-03-10 04:26:05,819,81,297,27,42,,2001-03-10 08:00:00,
2001-03-25,22,30,0.0001,1635-1700,1625,16N;023E,1706,2001-03-25 17:06:00,360,677,5,2001-03-25 16:25:00,2001-03-25 16:36:00,C9,9.00E-06,11,2001-03-25 16:25:00,2001-03-25 16:36:00,,M1.2,1.29E-05,,,,,,2001-03-25 16:35:00,2001-03-25 17:00:00,,2001-03-25 17:06:05,677,360,Halo,16,-23,850,2001-03-25 22:00:00,Event has a slow rise; No Type II data available
2001-03-29,12,150,0.24,1000-1015,957,16N;012W,1026,2001-03-29 10:26:00,360,942,2,2001-03-29 09:57:00,2001-03-29 10:15:00,X2,0.0002,18,2001-03-29 09:57:00,2001-03-29 10:15:00,,X2.8,0.00028571,,,,,,2001-03-29 10:00:00,2001-03-29 10:15:00,2,2001-03-29 10:26:05,942,360,Halo,16,12,700,2001-03-29 12:00:00,
