Solar Event Date (UT),SEP Event Onset Date (UT), Solar Event-B (deg),I(B),Solar Event-Earth (deg),I(Earth),Solar Event-A (deg),I(A),GOES X-Ray,Radio TyIII_Imp,Radio TyII Imp,CME dA (deg),CME V (km/s),Flare Xray Start Time Deprecated,Flare Magnitude Deprecated,Flare Class Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Time To Peak,Flare Catalog ID,GOES Xray Satellite,Event Source Longitude,CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Central Position Angle,CDAW CME Mean Position Angle,DONKI CME Start Time,DONKI CME Speed,DONKI CME Half Width,DONKI CME Lat,DONKI CME Lon,DONKI CME Time at 21.5,DONKI CME Feature,DONKI CME Measurement Technique,DONKI CME Catalog ID,SEP Reference Start,SEP Reference End,Case,Comments
2011-11-23 15:00:00,2011-11-23 15:00:00,-60,,-165,,90,0.0003,,1,0,95,315,,,,,,,,,,,,,,-165,,,,,,,,,,,,,,,2011-11-23 15:00:00,2011-11-24 15:00:00,,CME dA (deg): 95?; CME V (km/s): 315?
2011-12-03 07:00:00,2011-12-03 08:00:00,-117,,136,,30,0.0003,,1,0,155,454,,,,,,,,,,,,,,136,2011-12-03 07:36:06,454,155,239,243,2011-12-03 07:48:00,512,40,-21,134,2011-12-03 15:33:00,,,2011-12-03T07:48:00-CME-001,2011-12-03 08:00:00,2011-12-04 08:00:00,,Data gap in I(Earth)
2011-12-11 13:00:00,2011-12-11 14:00:00,-76,,176,,70,0.0003,,1,0,32,312,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,2011-12-11 14:00:00,2011-12-12 14:00:00,,CME measurements from STEREO-A CACTUS catalog.
2011-12-17 10:00:00,2011-12-17 16:00:00,-115,,136,0.0003,30,0.002,,1,0,247,987,,,,,,,,,,,,,,136,2011-12-17 11:00:06,987,247,7,334,2011-12-17 11:00:00,1157,40,47,156,2011-12-17 13:54:00,,,2011-12-17T11:00:00-CME-001,2011-12-17 16:00:00,2011-12-18 16:00:00,,
2011-12-24 11:00:00,2011-12-24 14:00:00,-165,,85,0.0003,-22,,C4.9,1,2,102,447,2011-12-24 11:00:00,4.90E-06,C4.9,2011-12-24 11:54:00,2011-12-24 12:36:00,2011-12-24 13:09:00,C7.1,7.13E-06,0.024227766,75,42,201112000000,15,85,2011-12-24 13:25:51,447,102,282,277,,,,,,,,,,2011-12-24 14:00:00,2011-12-25 14:00:00,,
2011-12-27 04:00:00,2011-12-27 05:00:00,78,0.0006,-32,,-139,,C8.9,1,0,84,735,2011-12-27 04:00:00,8.90E-06,C8.9,2011-12-27 04:10:00,2011-12-27 04:22:00,2011-12-27 04:31:00,M1.2,1.28E-05,0.010444587,21,12,201112000000,15,-32,,,,,,,,,,,,,,,2011-12-27 05:00:00,2011-12-28 05:00:00,,Elevated intensity from previous event at Earth; CME measurements from STEREO-B CACTUS catalog.
2011-12-29 16:00:00,2011-12-29 18:00:00,-142,,107,0.001,0,,,1,0,171,736,,,,,,,,,,,,,,107,2011-12-29 16:24:05,736,171,278,293,2011-12-29 17:06:00,400,30,20,88,2011-12-30 01:39:00,,,2011-12-29T17:06:00-CME-001,2011-12-29 18:00:00,2011-12-30 18:00:00,,
2012-01-02 14:00:00,2012-01-02 16:00:00,-152,,97,0.02,-10,0.001,C2.4,1,1,360,1138,2012-01-02 14:00:00,2.40E-06,C2.4,2012-01-02 14:42:00,2012-01-02 15:23:00,2012-01-02 15:59:00,C3.4,3.44E-06,0.011458606,77,41,201201000000,15,97,2012-01-02 15:12:40,1138,360,Halo,244,2012-01-02 15:24:00,1152,50,-17,99,2012-01-02 18:09:00,,,2012-01-02T15:24:00-CME-001,2012-01-02 16:00:00,2012-01-03 16:00:00,,
2012-01-12 07:00:00,2012-01-12 10:00:00,-5,0.0003,-118,,135,0.0006,C2.5,0,0,360,814,2012-01-12 07:00:00,2.50E-06,C2.5,2012-01-12 07:00:00,,,C3.5,3.57E-06,,,,,,-118,2012-01-12 08:24:05,814,360,Halo,52,2012-01-12 08:24:00,710,45,31,-102,2012-01-12 13:05:00,,,2012-01-12T08:24:00-CME-001,2012-01-12 10:00:00,2012-01-13 10:00:00,,
2012-01-16 02:00:00,2012-01-16 08:00:00,45,0.0005,-68,0.0003,-175,,C6.5,0,0,360,1060,2012-01-16 02:00:00,6.50E-06,C6.5,2012-01-16 02:00:00,,,C9.2,9.29E-06,,,,,,-68,2012-01-16 03:12:10,1060,360,Halo,39,2012-01-16 03:42:00,990,47,28,-57,2012-01-16 06:56:00,,,2012-01-16T03:42:00-CME-001,2012-01-16 08:00:00,2012-01-17 08:00:00,,
2012-02-29 09:00:00,2012-02-29 10:00:00,-118,,125,0.0005,16,0.005,,1,0,360,466,,,,,,,,,,,,,,125,2012-02-29 09:12:08,466,360,Halo,290,2012-02-29 09:24:00,558,41,11,140,2012-02-29 15:03:00,,,2012-02-29T09:24:00-CME-001,2012-02-29 10:00:00,2012-03-01 10:00:00,,
2012-03-03 18:00:00,2012-03-04 00:00:00,45,0.0002,-73,,178,,C1.9,1,0,192,1078,2012-03-03 18:00:00,1.90E-06,C1.9,2012-03-03 18:00:00,,,C2.7,2.71E-06,,,,,,-73,2012-03-03 18:36:05,1078,192,49,62,,,,,,,,,,2012-03-04 00:00:00,2012-03-04 12:00:00,,
2012-03-05 02:00:00,2012-03-05 04:00:00,66,0.3,-52,,-161,0.001,X1.1,1,2,360,1531,2012-03-05 02:00:00,0.00011,X1.1,2012-03-05 02:22:00,2012-03-05 04:09:00,2012-03-05 04:43:00,X1.6,0.000163624,0.531076968,141,107,201203000000,15,-52,2012-03-05 04:00:05,1531,360,Halo,61,2012-03-05 04:00:00,1363,51,22,-70,2012-03-05 06:23:00,,,2012-03-05T04:00:00-CME-001,2012-03-05 04:00:00,2012-03-06 04:00:00,,Elevated intensity from previous event at Earth
2012-03-21 07:00:00,2012-03-21 07:00:00,-81,,160,,50,0.8,,1,1,360,1178,,,,,,,,,,,,,,160,2012-03-21 07:36:05,1178,360,Halo,330,2012-03-21 07:39:00,1550,60,10,175,2012-03-21 09:53:00,,,2012-03-21T07:39:00-CME-001,2012-03-21 07:00:00,2012-03-22 07:00:00,,"Elevated intensity from previous event at STEREO-B, Earth"
2012-03-24 00:00:00,2012-03-24 00:00:00,-50,0.03,-169,0.001,80,1.3,,1,2,360,1152,,,,,,,,,,,,,,-169,2012-03-24 00:24:05,1152,360,Halo,347,2012-03-24 00:39:00,1600,60,11,-161,2012-03-24 02:21:00,,,2012-03-24T00:39:00-CME-001,2012-03-24 00:00:00,2012-03-25 00:00:00,,
2012-03-26 22:00:00,2012-03-27 00:00:00,-5,0.6,-124,,125,,,1,1,360,1390,,,,,,,,,,,,,,-124,2012-03-26 23:12:05,1390,360,Halo,92,2012-03-26 23:12:00,1450,50,15,-105,2012-03-27 01:29:00,,,2012-03-26T23:12:00-CME-001,2012-03-27 00:00:00,2012-03-28 00:00:00,,"Elevated intensity from previous event at Earth, STEREO-A"
2012-04-05 20:00:00,2012-04-06 00:00:00,148,,29,0.002,-82,,C1.5,1,0,360,828,2012-04-05 20:00:00,1.50E-06,C1.5,2012-04-05 20:40:00,2012-04-05 21:10:00,2012-04-05 22:02:00,C2.2,2.25E-06,0.007950538,82,30,201204000000,15,29,2012-04-05 21:25:07,828,360,Halo,311,2012-04-05 21:36:00,686,36,31,-32,2012-04-06 02:25:00,,,2012-04-05T21:36:00-CME-001,2012-04-06 00:00:00,2012-04-07 00:00:00,,
2012-04-07 16:00:00,2012-04-07 17:00:00,-80,,161,0.0005,50,0.02,,1,2,360,765,,,,,,,,,,,,,,161,2012-04-07 16:48:05,765,360,Halo,261,2012-04-07 16:54:00,733,30,-22,155,2012-04-07 21:40:00,,,2012-04-07T16:54:00-CME-001,2012-04-07 17:00:00,2012-04-08 17:00:00,,
2012-04-09 12:00:00,2012-04-09 12:00:00,-168,,73,0.0006,-38,,C3.9,1,1,360,921,2012-04-09 12:00:00,3.90E-06,C3.9,2012-04-09 11:58:00,2012-04-09 12:44:00,2012-04-09 13:10:00,C5.6,5.66E-06,0.014077131,72,46,201204000000,15,73,2012-04-09 12:36:07,921,360,Halo,310,2012-04-09 12:39:00,982,48,18,65,2012-04-09 15:58:00,,,2012-04-09T12:39:00-CME-001,2012-04-09 12:00:00,2012-04-10 12:00:00,,
2012-04-15 02:00:00,2012-04-15 03:00:00,29,0.002,-90,,158,0.001,C1.7,1,1,173,1220,2012-04-15 02:00:00,1.70E-06,C1.7,2012-04-15 02:00:00,,,C2.4,2.43E-06,,,,,,-90,2012-04-15 02:24:07,1220,173,79,89,2012-04-15 02:06:00,1000,35,15,-110,2012-04-15 05:30:00,,,2012-04-15T02:06:00-CME-001,2012-04-15 03:00:00,2012-04-16 03:00:00,,
2012-04-18 02:00:00,2012-04-18 03:00:00,-39,,-158,,90,0.0006,,1,0,271,352,,,,,,,,,,,,,,-158,2012-04-18 02:48:06,352,271,88,76,2012-04-18 02:48:00,580,24,12,-147,2012-04-18 08:43:00,,,2012-04-18T02:48:00-CME-001,2012-04-18 03:00:00,2012-04-18 15:00:00,,CME dA (deg): > 271
2012-04-18 14:00:00,2012-04-18 15:00:00,-35,,-154,0.0001,94,0.0004,,1,2,184,840,,,,,,,,,,,,,,-154,2012-04-18 15:12:08,840,184,64,52,2012-04-18 14:54:00,890,22,10,-158,2012-04-18 18:40:00,,,2012-04-18T14:54:00-CME-001,2012-04-18 15:00:00,2012-04-19 15:00:00,,
2012-04-24 07:00:00,2012-04-24 09:00:00,30,0.015,-88,0.0002,159,,C3.7,1,0,190,443,2012-04-24 07:00:00,3.70E-06,C3.7,2012-04-24 07:35:00,2012-04-24 07:45:00,2012-04-24 08:00:00,C5.3,5.35E-06,0.005571867,25,10,201204000000,15,-88,2012-04-24 08:12:05,443,190,62,80,2012-04-24 08:12:00,500,30,10,-60,2012-04-24 18:00:00,,,2012-04-24T08:12:00-CME-001,2012-04-24 09:00:00,2012-04-25 09:00:00,,
2012-04-27 15:00:00,2012-04-27 18:00:00,-108,,133,,20,0.0003,,1,1,360,681,,,,,,,,,,,,,,133,2012-04-27 16:24:06,681,360,Halo,277,2012-04-27 16:54:00,700,25,7,165,2012-04-27 22:00:00,,,2012-04-27T16:54:00-CME-001,2012-04-27 18:00:00,2012-04-28 18:00:00,,
2012-05-01 16:00:00,2012-05-01 18:00:00,-59,,-177,,70,0.0002,,1,0,200,788,,,,,,,,,,,,,,-177,2012-05-01 16:48:06,788,200,288,252,,,,,,,,,,2012-05-01 18:00:00,2012-05-02 18:00:00,,
2012-05-07 00:00:00,2012-05-07 03:00:00,142,,24,0.0002,-90,,C1.3,1,0,124,625,2012-05-07 00:00:00,1.30E-06,C1.3,2012-05-07 00:28:00,2012-05-07 00:36:00,2012-05-07 00:45:00,C1.8,1.89E-06,0.001700675,17,8,201205000000,15,24,,,,,,,,,,,,,,,2012-05-07 03:00:00,2012-05-08 03:00:00,,CME measurements from STEREO-A CACTUS catalog.
2012-05-14 09:00:00,2012-05-14 10:00:00,158,,40,0.0003,-75,,C2.5,1,0,48,551,2012-05-14 09:00:00,2.50E-06,C2.5,2012-05-14 09:32:00,2012-05-14 09:39:00,2012-05-14 09:46:00,C3.7,3.73E-06,0.001685954,14,7,201205000000,15,40,2012-05-14 10:12:05,551,48,229,238,,,,,,,,,,2012-05-14 10:00:00,2012-05-15 10:00:00,,
2012-06-01 22:00:00,2012-06-01 22:00:00,-162,,81,0.0006,-35,,C3.3,1,0,175,630,2012-06-01 22:00:00,3.30E-06,C3.3,2012-06-01 22:23:00,2012-06-01 22:41:00,2012-06-01 23:07:00,C4.8,4.85E-06,0.009553004,44,18,201206000000,15,81,2012-06-01 23:12:05,630,175,260,295,,,,,,,,,,2012-06-01 22:00:00,2012-06-02 22:00:00,,
2012-06-03 17:00:00,2012-06-03 19:00:00,79,0.01,-38,,-154,,M3.3,1,0,180,605,2012-06-03 17:00:00,3.30E-05,M3.3,2012-06-03 17:46:00,2012-06-03 17:55:00,2012-06-03 17:57:00,M4.7,4.79E-05,0.011660744,11,9,201206000000,15,-38,2012-06-03 18:12:05,605,180,71,39,,,,,,,,,,2012-06-03 19:00:00,2012-06-04 19:00:00,,
2012-06-08 07:00:00,2012-06-08 07:00:00,157,,40,0.0001,-77,,C4.8,1,0,34,308,2012-06-08 07:00:00,4.80E-06,C4.8,2012-06-08 07:09:00,2012-06-08 07:16:00,2012-06-08 07:18:00,C7.0,7.01E-06,0.001628653,9,7,201206000000,15,40,2012-06-08 08:00:05,308,34,229,227,,,,,,,,,,2012-06-08 07:00:00,2012-06-09 07:00:00,,
2012-06-12 05:00:00,2012-06-12 06:00:00,-109,,135,0.0001,18,0.001,,1,0,195,864,,,,,,,,,,,,,,135,2012-06-12 05:24:05,864,195,238,236,2012-06-12 05:24:00,1044,40,-30,139,2012-06-12 08:41:00,,,2012-06-12T05:24:00-CME-001,2012-06-12 06:00:00,2012-06-13 06:00:00,,
2012-06-28 07:00:00,2012-06-28 08:00:00,-65,,179,,60,0.002,,1,0,360,728,,,,,,,,,,,,,,179,,,,,,,,,,,,,,,2012-06-28 08:00:00,2012-06-28 16:00:00,,
2012-06-28 16:00:00,2012-06-28 16:00:00,71,0.001,-45,,-164,,M2.4,1,0,104,714,2012-06-28 16:00:00,2.40E-05,M2.4,2012-06-28 16:03:00,2012-06-28 16:12:00,2012-06-28 16:14:00,M3.5,3.52E-05,0.007852421,11,9,201206000000,15,-45,2012-06-28 16:36:06,714,104,77,53,,,,,,,,,,2012-06-28 16:00:00,2012-06-29 16:00:00,,
2012-07-02 08:00:00,2012-07-02 09:00:00,-10,0.001,-126,0.0001,115,0.01,,1,2,360,1074,,,,,,,,,,,,,,-126,2012-07-02 08:36:04,1074,360,Halo,85,2012-07-02 08:36:00,1100,35,-10,-130,2012-07-02 11:58:00,,,2012-07-02T08:36:00-CME-001,2012-07-02 09:00:00,2012-07-03 09:00:00,,
2012-07-04 16:00:00,2012-07-04 18:00:00,150,,34,0.003,-85,,M1.8,1,1,360,662,2012-07-04 16:00:00,1.80E-05,M1.8,2012-07-04 16:33:00,2012-07-04 16:39:00,2012-07-04 16:48:00,M2.7,2.71E-05,0.018768622,15,6,201207000000,15,34,2012-07-04 17:24:04,662,360,Halo,124,2012-07-04 17:24:00,535,31,-7,25,2012-07-05 02:07:00,,,2012-07-04T17:24:00-CME-001,2012-07-04 18:00:00,2012-07-05 18:00:00,,
2012-07-05 21:00:00,2012-07-05 22:00:00,161,,46,,-73,0.0002,M1.6,1,2,94,980,2012-07-05 21:00:00,1.60E-05,M1.6,2012-07-05 21:36:00,2012-07-05 21:45:00,2012-07-05 21:51:00,M2.3,2.34E-05,0.014217737,15,9,201207000000,15,46,2012-07-05 22:00:04,980,94,220,235,,,,,,,,,,2012-07-05 22:00:00,2012-07-06 22:00:00,,Elevated intensity from previous event at Earth
2012-07-13 19:00:00,2012-07-13 20:00:00,-115,,130,,10,0.004,,1,0,115,386,,,,,,,,,,,,,,130,2012-07-13 20:00:05,386,115,231,235,,,,,,,,,,2012-07-13 20:00:00,2012-07-14 20:00:00,,"Elevated intensity from previous event at STEREO-B, Earth"
2012-07-18 06:00:00,2012-07-18 06:00:00,-75,0.001,170,,50,0.1,,1,1,360,873,,,,,,,,,,,,,,170,2012-07-18 06:24:05,873,360,Halo,329,2012-07-18 06:24:00,1035,40,3,-175,2012-07-18 09:45:00,,,2012-07-18T06:24:00-CME-001,2012-07-18 06:00:00,2012-07-19 06:00:00,,Elevated intensity from previous event at Earth
2012-08-10 09:00:00,2012-08-10 13:00:00,-97,,147,0.001,25,0.008,,1,0,251,464,,,,,,,,,,,,,,147,2012-08-10 10:34:14,464,251,230,275,,,,,,,,,,2012-08-10 13:00:00,2012-08-11 13:00:00,,
2012-08-19 04:00:00,2012-08-19 05:00:00,-71,,173,0.0002,50,0.08,,1,0,224,577,,,,,,,,,,,,,,173,2012-08-19 05:24:05,577,224,312,325,,,,,,,,,,2012-08-19 05:00:00,2012-08-19 18:00:00,,
2012-08-19 18:00:00,2012-08-19 18:00:00,-71,0.001,173,0.0002,50,0.4,,1,0,360,612,,,,,,,,,,,,,,173,2012-08-19 18:36:05,612,360,Halo,154,,,,,,,,,,2012-08-19 18:00:00,2012-08-20 18:00:00,,
2012-08-21 20:00:00,2012-08-21 21:00:00,-56,0.0008,-172,,65,,,1,2,360,1024,,,,,,,,,,,,,,-172,2012-08-21 20:24:05,1024,360,Halo,86,2012-08-21 20:42:00,1100,15,-7,-170,2012-08-21 23:16:00,,,2012-08-21T20:42:00-CME-001,2012-08-21 21:00:00,2012-08-22 21:00:00,,Elevated intensity from previous event at STEREO-A
2012-09-08 10:00:00,2012-09-08 11:00:00,-99,,145,0.01,20,0.002,,1,1,360,734,,,,,,,,,,,,,,145,2012-09-08 10:00:06,734,360,Halo,242,2012-09-08 10:42:00,840,62,-18,124,2012-09-08 14:01:00,,,2012-09-08T10:42:00-CME-001,2012-09-08 11:00:00,2012-09-09 11:00:00,,
2012-09-19 11:00:00,2012-09-19 12:00:00,-51,,-168,,67,0.04,,1,1,360,616,,,,,,,,,,,,,,-168,2012-09-19 11:36:06,616,360,Halo,151,2012-09-19 11:39:00,1000,17,-16,160,2012-09-19 14:55:00,,,2012-09-19T11:39:00-CME-001,2012-09-19 12:00:00,2012-09-20 12:00:00,,
2012-09-20 15:00:00,2012-09-20 15:00:00,-40,0.2,-158,0.003,77,5,,1,2,360,1202,,,,,,,,,,,,,,-158,2012-09-20 15:12:10,1202,360,Halo,131,2012-09-20 15:24:00,2319,56,-28,-138,2012-09-20 16:35:00,,,2012-09-20T15:24:00-CME-001,2012-09-20 15:00:00,2012-09-21 15:00:00,,
2012-09-27 10:00:00,2012-09-27 10:00:00,-84,,158,,33,0.15,,1,2,360,1319,,,,,,,,,,,,,,158,2012-09-27 10:12:05,1319,360,Halo,227,2012-09-27 10:24:00,1592,64,-20,170,2012-09-27 12:35:00,,,2012-09-27T10:24:00-CME-001,2012-09-27 10:00:00,2012-09-28 00:00:00,,Elevated intensity from previous event at Earth
2012-10-07 06:00:00,2012-10-07 12:00:00,124,,5,0.0002,-121,,B4.5,1,0,149,663,2012-10-07 06:00:00,4.50E-07,B4.5,2012-10-07 06:00:00,,,B6.4,6.43E-07,,,,,,5,2012-10-07 07:36:05,663,149,202,207,,,,,,,,,,2012-10-07 12:00:00,2012-10-08 12:00:00,,
2012-10-14 00:00:00,2012-10-14 01:00:00,-18,0.008,-138,0.0002,96,0.06,,1,1,360,987,,,,,,,,,,,,,,-138,2012-10-14 00:48:05,987,360,Halo,54,2012-10-14 00:48:00,480,25,4,-120,2012-10-14 08:45:00,,,2012-10-14T00:48:00-CME-001,2012-10-14 01:00:00,2012-10-15 01:00:00,,
2012-11-16 06:00:00,2012-11-17 19:00:00,10,0.005,-114,,118,,C1.4,1,0,360,775,2012-11-16 06:00:00,1.40E-06,C1.4,2012-11-16 06:00:00,,,C2.0,2.00E-06,,,,,,-114,2012-11-16 07:24:14,775,360,Halo,97,2012-11-16 07:24:00,707,52,-17,-110,2012-11-16 12:15:00,,,2012-11-16T07:24:00-CME-001,2012-11-17 19:00:00,2012-11-18 19:00:00,,
2012-11-20 12:00:00,2012-11-20 13:00:00,103,,-22,0.0001,-150,,M1.7,1,0,360,619,2012-11-20 12:00:00,1.70E-05,M1.7,2012-11-20 12:31:00,2012-11-20 12:41:00,2012-11-20 12:46:00,M2.5,2.55E-05,0.01171958,15,10,201211000000,15,-22,2012-11-20 12:00:07,619,360,Halo,322,2012-11-20 12:09:00,725,30,5,90,2012-11-20 17:13:00,,,2012-11-20T12:09:00-CME-001,2012-11-20 13:00:00,2012-11-21 13:00:00,,
2012-11-21 15:00:00,2012-11-21 17:00:00,124,0.001,-1,0.0003,-128,,M3.5,0,0,360,529,2012-11-21 15:00:00,3.50E-05,M3.5,2012-11-21 15:19:00,2012-11-21 15:30:00,2012-11-21 15:38:00,M5.0,5.08E-05,0.037062943,19,11,201211000000,15,-1,2012-11-21 16:00:05,529,360,Halo,194,2012-11-21 16:24:00,850,45,8,-12,2012-11-21 22:10:00,,,2012-11-21T16:24:00-CME-001,2012-11-21 17:00:00,2012-11-22 17:00:00,,
2012-11-23 23:00:00,2012-11-23 23:00:00,-102,,132,0.0003,5,0.03,,1,2,360,1186,,,,,,,,,,,,,,132,2012-11-23 23:24:05,1186,360,Halo,319,2012-11-23 23:25:00,975,50,30,138,2012-11-24 02:48:00,,,2012-11-23T23:25:00-CME-001,2012-11-23 23:00:00,2012-11-24 14:00:00,,
2012-11-24 13:00:00,2012-11-24 14:00:00,154,,28,0.0003,-100,,C3.3,1,0,84,237,2012-11-24 13:00:00,3.30E-06,C3.3,2012-11-24 13:26:00,2012-11-24 13:40:00,2012-11-24 13:44:00,C4.7,4.79E-06,0.002273002,18,14,201211000000,15,28,2012-11-24 14:48:05,237,84,282,286,,,,,,,,,,2012-11-24 14:00:00,2012-11-25 14:00:00,,
2012-12-02 15:00:00,2012-12-02 16:00:00,-56,,177,0.0005,50,0.005,,1,0,360,678,,,,,,,,,,,,,,177,2012-12-02 16:36:05,678,360,Halo,7,2012-12-02 16:24:00,820,31,18,178,2012-12-02 20:38:00,,,2012-12-02T16:24:00-CME-001,2012-12-02 16:00:00,2012-12-03 16:00:00,,
2012-12-05 00:00:00,2012-12-05 03:00:00,52,0.003,-75,,157,0.0002,C1.7,1,1,231,963,2012-12-05 00:00:00,1.70E-06,C1.7,2012-12-05 00:02:00,2012-12-05 00:28:00,2012-12-05 00:53:00,C2.5,2.53E-06,0.005035574,51,26,201212000000,15,-75,2012-12-05 00:36:05,963,231,66,67,2012-12-05 00:48:00,507,35,1,-65,2012-12-05 06:22:00,,,2012-12-05T00:48:00-CME-001,2012-12-05 03:00:00,2012-12-06 03:00:00,,
2013-01-06 22:00:00,2013-01-06 23:00:00,-40,,-173,,58,0.008,,1,0,211,667,,,,,,,,,,,,,,-173,2013-01-06 23:24:05,667,211,21,10,,,,,,,,,,2013-01-06 23:00:00,2013-01-07 23:00:00,,
2013-02-06 00:00:00,2013-02-06 03:00:00,118,0.002,-19,0.0001,-149,0.0004,C8.7,1,0,271,1867,2013-02-06 00:00:00,8.70E-06,C8.7,2013-02-05 23:59:00,2013-02-06 00:21:00,2013-02-06 00:41:00,M1.2,1.26E-05,0.018302904,42,22,201302000000,15,-19,2013-02-06 00:24:05,1867,271,4,31,2013-02-06 00:36:00,1226,38,30,-35,2013-02-06 03:15:00,,,2013-02-06T00:36:00-CME-001,2013-02-06 03:00:00,2013-02-07 03:00:00,,
2013-02-26 09:00:00,2013-02-26 13:00:00,-89,,131,0.01,0,0.002,,1,1,360,987,,,,,,,,,,,,,,131,2013-02-26 09:12:08,987,360,Halo,272,2013-02-26 10:09:00,900,75,10,125,2013-02-26 14:12:00,,,2013-02-26T10:09:00-CME-001,2013-02-26 13:00:00,2013-02-27 13:00:00,,
2013-03-05 03:00:00,2013-03-05 03:00:00,-1,0.4,-141,0.006,88,30,,1,1,360,1316,,,,,,,,,,,,,,-141,2013-03-05 03:48:05,1316,360,Halo,137,2013-03-05 04:24:00,1900,70,10,-135,2013-03-05 06:04:00,,,2013-03-05T04:24:00-CME-001,2013-03-05 03:00:00,2013-03-06 03:00:00,,
2013-04-24 21:00:00,2013-04-24 22:00:00,-44,0.001,175,0.01,40,0.1,,1,0,360,594,,,,,,,,,,,,,,175,2013-04-24 22:12:06,594,360,Halo,241,,,,,,,,,,2013-04-24 22:00:00,2013-04-25 22:00:00,,
2013-04-28 20:00:00,2013-04-28 22:00:00,179,,37,0.0004,-97,,C4.4,1,0,91,497,2013-04-28 20:00:00,4.40E-06,C4.4,2013-04-28 20:10:00,2013-04-28 20:17:00,2013-04-28 20:26:00,C6.3,6.32E-06,0.004944946,16,7,201304000000,15,37,2013-04-28 20:48:05,497,91,237,239,,,,,,,,,,2013-04-28 22:00:00,2013-04-29 22:00:00,,
2013-05-01 02:00:00,2013-05-01 04:00:00,37,0.009,-105,,120,0.007,,1,1,360,762,,,,,,,,,,,,,,-105,2013-05-01 03:12:08,762,360,Halo,42,2013-05-01 03:12:00,860,36,12,-120,2013-05-01 07:07:00,,,2013-05-01T03:12:00-CME-001,2013-05-01 04:00:00,2013-05-02 04:00:00,,
2013-05-02 04:00:00,2013-05-02 06:00:00,168,,26,0.0005,-109,,M1.1,1,0,99,671,2013-05-02 04:00:00,1.10E-05,M1.1,2013-05-02 04:53:00,2013-05-02 05:10:00,2013-05-02 05:19:00,M1.6,1.61E-05,0.013547371,26,17,201305000000,15,26,2013-05-02 05:24:05,671,99,344,343,2013-05-02 05:24:00,395,28,56,19,2013-05-02 13:30:00,,,2013-05-02T05:24:00-CME-001,2013-05-02 06:00:00,2013-05-03 06:00:00,,"Elevated intensity from previous event at STEREO-B, STEREO-A"
2013-05-03 17:00:00,2013-05-03 20:00:00,61,0.003,-81,,144,0.002,M5.7,0,0,274,858,2013-05-03 17:00:00,5.70E-05,M5.7,2013-05-03 17:23:00,2013-05-03 17:32:00,2013-05-03 17:41:00,M8.1,8.19E-05,0.065298349,18,9,201305000000,15,-81,2013-05-03 18:00:05,858,274,86,42,2013-05-03 18:00:00,650,40,7,-89,2013-05-04 00:31:00,,,2013-05-03T18:00:00-CME-001,2013-05-03 20:00:00,2013-05-04 20:00:00,,
2013-05-10 18:00:00,2013-05-10 20:00:00,-78,,140,0.0002,5,0.006,,1,0,120,617,,,,,,,,,,,,,,140,2013-05-10 19:12:58,617,120,297,287,2013-05-10 19:12:00,575,35,18,103,2013-05-11 00:21:00,,,2013-05-10T19:12:00-CME-001,2013-05-10 20:00:00,2013-05-11 20:00:00,,
2013-05-13 01:00:00,2013-05-13 02:00:00,39,0.2,-103,,121,,X1.7,1,1,360,1270,2013-05-13 01:00:00,0.00017,X1.7,2013-05-13 01:50:00,2013-05-13 02:17:00,2013-05-13 02:32:00,X2.5,0.000250819,0.337614328,42,27,201305000000,15,-103,2013-05-13 02:00:05,1270,360,Halo,64,2013-05-13 02:54:00,1200,30,20,-94,2013-05-13 05:11:00,,,2013-05-13T02:54:00-CME-001,2013-05-13 02:00:00,2013-05-13 16:00:00,,Elevated intensity from previous event at Earth
2013-05-13 15:00:00,2013-05-13 16:00:00,47,1,-95,0.01,129,0.004,X2.8,1,2,360,1850,2013-05-13 15:00:00,0.00028,X2.8,2013-05-13 15:41:00,2013-05-13 16:05:00,2013-05-13 16:16:00,X4.1,0.000410607,0.349859864,35,24,201305000000,15,-95,2013-05-13 16:07:55,1850,360,Halo,63,2013-05-13 16:18:00,1900,40,10,-70,2013-05-13 18:00:00,,,2013-05-13T16:18:00-CME-001,2013-05-13 16:00:00,2013-05-14 16:00:00,,
2013-06-17 02:00:00,2013-06-17 03:00:00,81,0.002,-59,,161,,C1.2,0,0,,,2013-06-17 02:00:00,1.20E-06,C1.2,2013-06-17 03:26:00,2013-06-17 03:39:00,,C1.5,1.50E-06,,,13,201306000000,15,-59,,,,,,,,,,,,,,,2013-06-17 03:00:00,2013-06-18 03:00:00,,
2013-06-23 20:00:00,2013-06-23 20:00:00,78,,-62,,159,0.0004,M2.9,1,0,101,339,2013-06-23 20:00:00,2.90E-05,M2.9,2013-06-23 20:48:00,2013-06-23 20:56:00,2013-06-23 20:59:00,M4.2,4.20E-05,0.014365785,11,8,201306000000,15,-62,2013-06-23 21:24:05,339,101,132,133,,,,,,,,,,2013-06-23 20:00:00,2013-06-24 20:00:00,,"Elevated intensity from previous event at STEREO-B, Earth"
