SEP Reference Start,SEP Reference End,Event Source Longitude,Event Source Latitude,25 MEV Proton Intensity (MeV s cm^2 sr)^-1,GLE Event Number,GOES >10 MeV (pfu),CME speed (km/s),CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Central Position Angle,CDAW CME Mean Position Angle,Flare Xray Start Time Deprecated,Flare Magnitude Deprecated,Flare Class Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Time To Peak,Flare Catalog ID,GOES Xray Satellite,Case,Comments
1968-11-04 05:42:00,1968-11-05 05:42:00,90,-15,1,,,,,,,,,,,,,,,,,,,,,,,
1968-11-13 06:10:00,1968-11-14 06:10:00,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
1968-11-18 10:58:00,1968-11-19 10:58:00,87,21,10,19,,,,,,,,,,,,,,,,,,,,,,
1968-12-02 21:19:00,1968-12-03 21:19:00,-89,21,0.1,,,,,,,,,,,,,,,,,,,,,,,
1968-12-27 10:56:00,1968-12-28 10:56:00,-2,16,0.005,,,,,,,,,,,,,,,,,,,,,,,
1969-01-24 08:11:00,1969-01-25 08:11:00,9,20,0.1,,,,,,,,,1969-01-24 08:11:00,0.0001,X1.0,1969-01-24 08:11:00,,,X1.4,0.00014286,,,,,,,
1969-02-24 23:16:00,1969-02-25 09:14:00,32,12,0.005,,,,,,,,,1969-02-24 23:16:00,0.0002,X2.0,1969-02-24 23:16:00,,,X2.8,0.00028571,,,,,,,
1969-02-25 09:14:00,1969-02-26 04:27:00,37,13,1,20,,,,,,,,,,,,,,,,,,,,,,
1969-02-26 04:27:00,1969-02-27 04:27:00,46,13,0.5,,,,,,,,,1969-02-26 04:27:00,0.0005,X5.0,1969-02-26 04:27:00,,,X7.1,0.00071429,,,,,,,
1969-02-27 14:15:00,1969-02-28 14:15:00,65,13,0.5,,,,,,,,,1969-02-27 14:15:00,0.0005,X5.0,1969-02-27 14:15:00,,,X7.1,0.00071429,,,,,,,
1969-03-12 17:44:00,1969-03-13 17:44:00,80,12,0.1,,,,,,,,,1969-03-12 17:44:00,0.0005,X5.0,1969-03-12 17:44:00,,,X7.1,0.00071429,,,,,,,
1969-03-16 08:00:00,1969-03-17 08:00:00,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
1969-03-21 01:54:00,1969-03-22 01:54:00,-16,19,0.2,,,,,,,,,1969-03-21 01:54:00,0.0005,X5.0,1969-03-21 01:54:00,,,X7.1,0.00071429,,,,,,,
1969-03-27 13:41:00,1969-03-28 13:41:00,70,21,0.005,,,,,,,,,1969-03-27 13:41:00,0.0005,X5.0,1969-03-27 13:41:00,,,X7.1,0.00071429,,,,,,,
1969-03-30 03:00:00,1969-03-31 03:00:00,110,19,0.5,21,,,,,,,,1969-03-30 03:00:00,0.0002,X2.0,1969-03-30 03:00:00,,,X2.8,0.00028571,,,,,,,
1969-04-10 04:14:00,1969-04-11 04:14:00,-90,11,1,,,,,,,,,1969-04-10 04:14:00,0.0002,X2.0,1969-04-10 04:14:00,,,X2.8,0.00028571,,,,,,,
1969-04-29 08:00:00,1969-04-30 08:00:00,,,0.005,,,,,,,,,,,,,,,,,,,,,,,
1969-09-25 07:24:00,1969-09-26 07:24:00,14,13,0.5,,,,,,,,,1969-09-25 07:24:00,1.00E-05,M1.0,1969-09-25 07:24:00,,,M1.4,1.43E-05,,,,,,,
1969-09-27 04:12:00,1969-09-28 04:12:00,-2,9,0.01,,,,,,,,,1969-09-27 04:12:00,0.0001,X1.0,1969-09-27 04:12:00,,,X1.4,0.00014286,,,,,,,
1969-10-13 23:48:00,1969-10-14 05:44:00,,,0.002,,,,,,,,,,,,,,,,,,,,,,,
1969-10-14 05:44:00,1969-10-14 10:48:00,71,25,0.01,,,,,,,,,1969-10-14 05:44:00,1.00E-05,M1.0,1969-10-14 05:44:00,,,M1.4,1.43E-05,,,,,,,
1969-10-14 10:48:00,1969-10-14 19:06:00,,,0.02,,,,,,,,,,,,,,,,,,,,,,,
1969-10-14 19:06:00,1969-10-15 19:06:00,,,0.02,,,,,,,,,,,,,,,,,,,,,,,
1969-11-02 11:38:00,1969-11-03 11:38:00,90,16,10,,,,,,,,,1969-11-02 11:38:00,0.0005,X5.0,1969-11-02 11:38:00,,,X7.1,0.00071429,,,,,,,
1969-11-07 03:45:00,1969-11-08 03:45:00,-11,14,0.1,,,,,,,,,1969-11-07 03:45:00,4.00E-06,C4.0,1969-11-07 03:45:00,,,C5.7,5.71E-06,,,,,,,
1969-11-13 12:00:00,1969-11-14 12:00:00,,,0.005,,,,,,,,,,,,,,,,,,,,,,,
1969-11-24 09:22:00,1969-11-25 09:22:00,31,13,0.1,,,,,,,,,1969-11-24 09:22:00,0.0005,X5.0,1969-11-24 09:22:00,,,X7.1,0.00071429,,,,,,,
1969-11-30 13:00:00,1969-12-01 13:00:00,,,0.002,,,,,,,,,,,,,,,,,,,,,,,
1969-12-18 15:30:00,1969-12-19 15:30:00,,,0.03,,,,,,,,,,,,,,,,,,,,,,,
1969-12-19 22:45:00,1969-12-20 22:45:00,,,0.2,,,,,,,,,,,,,,,,,,,,,,,
1969-12-30 19:34:00,1969-12-31 19:34:00,85,-14,0.05,,,,,,,,,1969-12-30 19:34:00,4.00E-05,M4.0,1969-12-30 19:34:00,,,M5.7,5.71E-05,,,,,,,
1970-01-03 21:30:00,1970-01-04 21:30:00,16,13,0.001,,,,,,,,,,,,,,,,,,,,,,,
1970-01-28 13:45:00,1970-01-29 10:29:00,26,16,0.02,,,,,,,,,,,,,,,,,,,,,,,
1970-01-29 10:29:00,1970-01-30 10:29:00,42,-13,0.1,,,,,,,,,1970-01-29 10:29:00,1.00E-05,M1.0,1970-01-29 10:29:00,,,M1.4,1.43E-05,,,,,,,
1970-01-31 15:35:00,1970-02-01 15:35:00,64,-23,1,,,,,,,,,1970-01-31 15:35:00,8.00E-05,M8.0,1970-01-31 15:35:00,,,X1.1,0.00011429,,,,,,,
1970-02-16 08:47:00,1970-02-17 08:47:00,56,-13,0.001,,,,,,,,,1970-02-16 08:47:00,2.00E-05,M2.0,1970-02-16 08:47:00,,,M2.8,2.86E-05,,,,,,,
1970-02-26 13:00:00,1970-02-27 13:00:00,-74,9,0.005,,,,,,,,,1970-02-26 13:00:00,1.00E-05,M1.0,1970-02-26 13:00:00,,,M1.4,1.43E-05,,,,,,,
1970-03-06 13:00:00,1970-03-07 01:52:00,90,9,0.1,,,,,,,,,1970-03-06 13:00:00,8.00E-05,M8.0,1970-03-06 13:00:00,,,X1.1,0.00011429,,,,,,,
1970-03-07 01:52:00,1970-03-08 01:52:00,-10,-12,0.2,,,,,,,,,1970-03-07 01:52:00,0.0001,X1.0,1970-03-07 01:52:00,,,X1.4,0.00014286,,,,,,,
1970-03-12 03:25:00,1970-03-13 03:25:00,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
1970-03-21 01:10:00,1970-03-22 01:10:00,-67,18,0.001,,,,,,,,,1970-03-21 01:10:00,2.00E-05,M2.0,1970-03-21 01:10:00,,,M2.8,2.86E-05,,,,,,,
1970-03-23 18:15:00,1970-03-24 18:15:00,62,18,0.4,,,,,,,,,,,,,,,,,,,,,,,
1970-03-25 12:26:00,1970-03-26 12:26:00,-10,14,0.05,,,,,,,,,1970-03-25 12:26:00,0.0002,X2.0,1970-03-25 12:26:00,,,X2.8,0.00028571,,,,,,,
1970-03-29 00:46:00,1970-03-30 00:46:00,37,13,0.5,,,,,,,,,1970-03-29 00:46:00,0.0002,X2.0,1970-03-29 00:46:00,,,X2.8,0.00028571,,,,,,,
1970-04-07 10:30:00,1970-04-08 10:30:00,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
1970-04-15 04:20:00,1970-04-16 04:20:00,86,13,0.002,,,,,,,,,1970-04-15 04:20:00,0.0002,X2.0,1970-04-15 04:20:00,,,X2.8,0.00028571,,,,,,,
1970-04-16 18:00:00,1970-04-17 18:00:00,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
1970-05-05 02:10:00,1970-05-06 02:10:00,,,0.001,,,,,,,,,,,,,,,,,,,,,,,
1970-05-30 03:38:00,1970-05-31 03:38:00,30,-8,0.5,,,,,,,,,1970-05-30 03:38:00,0.0001,X1.0,1970-05-30 03:38:00,,,X1.4,0.00014286,,,,,,,
1970-06-02 06:31:00,1970-06-03 06:31:00,76,-8,0.01,,,,,,,,,1970-06-02 06:31:00,4.00E-05,M4.0,1970-06-02 06:31:00,,,M5.7,5.71E-05,,,,,,,
1970-06-14 14:00:00,1970-06-15 14:00:00,-38,21,0.005,,,,,,,,,1970-06-14 14:00:00,0.0001,X1.0,1970-06-14 14:00:00,,,X1.4,0.00014286,,,,,,,
1970-06-25 18:38:00,1970-06-26 18:38:00,-11,10,0.1,,,,,,,,,1970-06-25 18:38:00,6.00E-05,M6.0,1970-06-25 18:38:00,,,M8.5,8.57E-05,,,,,,,
1970-06-28 20:07:00,1970-06-29 20:07:00,-23,20,0.0005,,,,,,,,,1970-06-28 20:07:00,0.0004,X4.0,1970-06-28 20:07:00,,,X5.7,0.00057143,,,,,,,
1970-07-06 21:40:00,1970-07-07 17:00:00,90,22,0.01,,,,,,,,,1970-07-06 21:40:00,0.0001,X1.0,1970-07-06 21:40:00,,,X1.4,0.00014286,,,,,,,
1970-07-07 17:00:00,1970-07-08 17:00:00,100,5,0.1,,,,,,,,,1970-07-07 17:00:00,0.0001,X1.0,1970-07-07 17:00:00,,,X1.4,0.00014286,,,,,,,
1970-07-21 05:05:00,1970-07-22 05:05:00,-46,8,0.01,,,,,,,,,1970-07-21 05:05:00,4.00E-05,M4.0,1970-07-21 05:05:00,,,M5.7,5.71E-05,,,,,,,
1970-07-23 18:43:00,1970-07-24 18:43:00,-9,9,0.5,,,,,,,,,1970-07-23 18:43:00,0.0002,X2.0,1970-07-23 18:43:00,,,X2.8,0.00028571,,,,,,,
1970-08-09 18:00:00,1970-08-10 18:00:00,,,0.001,,,,,,,,,,,,,,,,,,,,,,,
1970-08-12 20:36:00,1970-08-13 20:36:00,-90,11,0.05,,,,,,,,,1970-08-12 20:36:00,0.0005,X5.0,1970-08-12 20:36:00,,,X7.1,0.00071429,,,,,,,
1970-08-14 16:35:00,1970-08-15 16:35:00,-74,10,,,,,,,,,,1970-08-14 16:35:00,0.001,X10.0,1970-08-14 16:35:00,,,X14.2,0.0014286,,,,,,,
