SEP Reference Start,SEP Reference End,Event Source Longitude,Event Source Latitude,25 MEV Proton Intensity (MeV s cm^2 sr)^-1,GLE Event Number,GOES >10 MeV (pfu),CME speed (km/s),CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Central Position Angle,CDAW CME Mean Position Angle,Flare Xray Start Time Deprecated,Flare Magnitude Deprecated,Flare Class Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Time To Peak,Flare Catalog ID,GOES Xray Satellite,Case,Comments
1975-08-04 00:00:00,1975-08-05 00:00:00,,,0.002,,,,,,,,,,,,,,,,,,,,,,,
1975-08-21 15:17:00,1975-08-22 01:18:00,74,26,0.08,,,,,,,,,1975-08-21 15:17:00,0.0001,X1.0,1975-08-21 15:17:00,,,X1.4,0.00014286,,,,,,,
1975-08-22 01:18:00,1975-08-23 01:18:00,81,27,0.15,,,,,,,,,1975-08-22 01:18:00,8.00E-05,M8.0,1975-08-22 01:18:00,,,X1.1,0.00011429,,,,,,,
1975-11-16 21:45:00,1975-11-17 21:45:00,76,5,0.0005,,,,,,,,,1975-11-16 21:45:00,2.00E-06,C2.0,1975-11-16 21:45:00,,,C2.8,2.86E-06,,,,,,,
1975-11-21 06:16:00,1975-11-22 06:16:00,21,-7,0.006,,,,,,,,,1975-11-21 06:16:00,2.00E-05,M2.0,1975-11-21 06:16:00,,,M2.8,2.86E-05,,,,,,,
1976-03-23 08:39:00,1976-03-24 08:39:00,-90,-5,0.001,,0,,,,,,,1976-03-23 08:39:00,0.0001,X1.0,1976-03-23 08:39:00,,,X1.4,0.00014286,,,,,,,
1976-03-26 03:00:00,1976-03-26 12:00:00,,,0.01,,0,,,,,,,,,,,,,,,,,,,,,
1976-03-26 12:00:00,1976-03-27 12:00:00,,,0.03,,0,,,,,,,,,,,,,,,,,,,,,
1976-03-28 19:21:00,1976-03-29 19:21:00,-28,-7,0.009,,0,,,,,,,1976-03-28 19:21:00,9.00E-05,M9.0,1976-03-28 19:21:00,,,X1.2,0.00012857,,,,,,,
1976-04-30 20:59:00,1976-05-01 20:59:00,46,-8,2.5,27,12,,,,,,,1976-04-30 20:59:00,0.0001,X1.0,1976-04-30 20:59:00,,,X1.4,0.00014286,,,,,,,
1976-08-22 00:00:00,1976-08-23 00:00:00,90,-2,0.5,,0,,,,,,,1976-08-22 00:00:00,3.00E-05,M3.0,1976-08-22 00:00:00,,,M4.2,4.29E-05,,,,,,,
1977-07-26 00:00:00,1977-07-27 00:00:00,50,-91,0.004,,0,,,,,,,,,,,,,,,,,,,,,
1977-09-07 23:15:00,1977-09-08 23:15:00,-90,10,0.04,,0,,,,,,,1977-09-07 23:15:00,0.0001,X1.0,1977-09-07 23:15:00,,,X1.4,0.00014286,,,,,,,
1977-09-16 22:56:00,1977-09-17 22:56:00,20,7,1,,0,,,,,,,1977-09-16 22:56:00,6.00E-05,M6.0,1977-09-16 22:56:00,,,M8.5,8.57E-05,,,,,,,
1977-09-19 10:38:00,1977-09-20 10:38:00,57,8,5,28,200,,,,,,,1977-09-19 10:38:00,0.0002,X2.0,1977-09-19 10:38:00,,,X2.8,0.00028571,,,,,,,
1977-09-24 05:54:00,1977-09-25 05:54:00,120,-91,2,29,0,,,,,,,1977-09-24 05:54:00,8.00E-07,B8.0,1977-09-24 05:54:00,,,C1.1,1.14E-06,,,,,,,
1977-10-06 06:00:00,1977-10-07 06:00:00,59,,0.0005,,0,,,,,,,,,,,,,,,,,,,,,
1977-10-12 01:52:00,1977-10-13 01:52:00,2,6,0.09,,0,,,,,,,1977-10-12 01:52:00,9.00E-05,M9.0,1977-10-12 01:52:00,,,X1.2,0.00012857,,,,,,,
1977-11-22 10:05:00,1977-11-23 10:05:00,40,24,7,30,160,,,,,,,1977-11-22 10:05:00,9.00E-05,M9.0,1977-11-22 10:05:00,,,X1.2,0.00012857,,,,,,,
1977-12-27 11:05:00,1977-12-28 11:05:00,79,-25,0.01,,0,,,,,,,1977-12-27 11:05:00,1.00E-05,M1.0,1977-12-27 11:05:00,,,M1.4,1.43E-05,,,,,,,
1978-01-01 21:53:00,1978-01-02 21:53:00,-6,-21,0.04,,0,,,,,,,1978-01-01 21:53:00,3.00E-05,M3.0,1978-01-01 21:53:00,,,M4.2,4.29E-05,,,,,,,
1978-01-08 07:13:00,1978-01-09 07:13:00,85,-12,0.01,,0,,,,,,,1978-01-08 07:13:00,0.0001,X1.0,1978-01-08 07:13:00,,,X1.4,0.00014286,,,,,,,
1978-01-11 00:00:00,1978-01-12 00:00:00,,,0.005,,0,,,,,,,,,,,,,,,,,,,,,
1978-02-13 01:50:00,1978-02-14 01:50:00,20,13,11,,850,,,,,,,1978-02-13 01:50:00,6.00E-05,M6.0,1978-02-13 01:50:00,,,M8.5,8.57E-05,,,,,,,
1978-02-25 14:50:00,1978-02-26 14:50:00,21,19,0.02,,0,,,,,,,1978-02-25 14:50:00,4.00E-05,M4.0,1978-02-25 14:50:00,,,M5.7,5.71E-05,,,,,,,
1978-03-06 11:59:00,1978-03-07 11:59:00,-20,26,0.0006,,0,,,,,,,1978-03-06 11:59:00,2.00E-05,M2.0,1978-03-06 11:59:00,,,M2.8,2.86E-05,,,,,,,
1978-04-08 01:56:00,1978-04-09 01:56:00,11,19,0.02,,0,,,,,,,1978-04-08 01:56:00,0.0001,X1.0,1978-04-08 01:56:00,,,X1.4,0.00014286,,,,,,,
1978-04-11 14:10:00,1978-04-12 14:10:00,91,22,1,,65,,,,,,,1978-04-11 14:10:00,0.0002,X2.0,1978-04-11 14:10:00,,,X2.8,0.00028571,,,,,,,
1978-04-17 00:00:00,1978-04-18 00:00:00,,,0.2,,0,,,,,,,,,,,,,,,,,,,,,
1978-04-19 00:00:00,1978-04-20 00:00:00,,,0.006,,0,,,,,,,,,,,,,,,,,,,,,
1978-04-28 13:35:00,1978-04-29 13:35:00,-38,22,3,,1000,,,,,,,1978-04-28 13:35:00,0.0005,X5.0,1978-04-28 13:35:00,,,X7.1,0.00071429,,,,,,,
1978-05-07 03:30:00,1978-05-08 03:30:00,72,23,1.3,31,100,,,,,,,1978-05-07 03:30:00,0.0001,X1.0,1978-05-07 03:30:00,,,X1.4,0.00014286,,,,,,,
1978-05-11 06:00:00,1978-05-12 06:00:00,,,0.05,,0,,,,,,,,,,,,,,,,,,,,,
1978-05-31 10:48:00,1978-06-01 10:48:00,43,20,0.09,,19,,,,,,,1978-05-31 10:48:00,6.00E-05,M6.0,1978-05-31 10:48:00,,,M8.5,8.57E-05,,,,,,,
1978-06-22 16:54:00,1978-06-23 16:54:00,-16,18,,,25,,,,,,,1978-06-22 16:54:00,3.00E-05,M3.0,1978-06-22 16:54:00,,,M4.2,4.29E-05,,,,,,,
1978-07-02 12:00:00,1978-07-03 12:00:00,,,0.01,,0,,,,,,,,,,,,,,,,,,,,,
1978-07-05 03:00:00,1978-07-06 03:00:00,,,0.01,,0,,,,,,,,,,,,,,,,,,,,,
1978-07-11 10:56:00,1978-07-12 10:56:00,-45,18,0.006,,0,,,,,,,1978-07-11 10:56:00,0.001,X10.0,1978-07-11 10:56:00,,,X14.2,0.0014286,,,,,,,
1978-07-24 00:00:00,1978-07-25 00:00:00,,,0.004,,0,,,,,,,,,,,,,,,,,,,,,
1978-09-07 23:32:00,1978-09-08 23:32:00,17,-28,0.03,,0,,,,,,,1978-09-07 23:32:00,6.00E-06,C6.0,1978-09-07 23:32:00,,,C8.5,8.57E-06,,,,,,,
1978-09-23 10:00:00,1978-09-24 10:00:00,50,35,20,32,2200,,,,,,,1978-09-23 10:00:00,0.0001,X1.0,1978-09-23 10:00:00,,,X1.4,0.00014286,,,,,,,
1978-10-01 07:18:00,1978-10-02 07:18:00,-57,-13,0.002,,0,,,,,,,1978-10-01 07:18:00,9.00E-05,M9.0,1978-10-01 07:18:00,,,X1.2,0.00012857,,,,,,,
1978-10-08 20:07:00,1978-10-09 20:07:00,44,-13,0.02,,0,,,,,,,1978-10-08 20:07:00,8.00E-06,C8.0,1978-10-08 20:07:00,,,M1.1,1.14E-05,,,,,,,
1978-10-09 20:22:00,1978-10-10 20:22:00,61,-14,0.4,,0,,,,,,,1978-10-09 20:22:00,4.00E-05,M4.0,1978-10-09 20:22:00,,,M5.7,5.71E-05,,,,,,,
1978-10-13 12:39:00,1978-10-14 12:39:00,1,-18,0.007,,0,,,,,,,,,,,,,,,,,,,,,
1978-10-17 17:40:00,1978-10-18 17:40:00,51,-18,0.014,,0,,,,,,,1978-10-17 17:40:00,2.00E-06,C2.0,1978-10-17 17:40:00,,,C2.8,2.86E-06,,,,,,,
1978-11-04 10:00:00,1978-11-05 10:00:00,,,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1978-11-10 01:22:00,1978-11-11 01:22:00,-1,17,0.05,,38,,,,,,,1978-11-10 01:22:00,2.00E-05,M2.0,1978-11-10 01:22:00,,,M2.8,2.86E-05,,,,,,,
1978-11-20 16:00:00,1978-11-21 16:00:00,,,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1978-12-11 19:47:00,1978-12-12 19:47:00,50,-16,0.02,,0,,,,,,,1978-12-11 19:47:00,0.0001,X1.0,1978-12-11 19:47:00,,,X1.4,0.00014286,,,,,,,
1979-01-05 00:33:00,1979-01-06 00:33:00,-54,-19,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1979-01-21 18:00:00,1979-01-22 18:00:00,-85,,0.003,,0,,,,,,,,,,,,,,,,,,,,,
1979-02-16 01:52:00,1979-02-17 01:52:00,-59,16,0.0006,,31,,,,,,,1979-02-16 01:52:00,0.0003,X3.0,1979-02-16 01:52:00,,,X4.2,0.00042857,,,,,,,
1979-02-18 16:38:00,1979-02-19 16:38:00,14,17,0.04,,0,,,,,,,1979-02-18 16:38:00,0.0002,X2.0,1979-02-18 16:38:00,,,X2.8,0.00028571,,,,,,,
1979-03-01 10:15:00,1979-03-02 10:15:00,-58,-23,0.04,,0,,,,,,,1979-03-01 10:15:00,0.0001,X1.0,1979-03-01 10:15:00,,,X1.4,0.00014286,,,,,,,
1979-03-09 09:48:00,1979-03-10 09:48:00,-80,17,0.01,,0,,,,,,,1979-03-09 09:48:00,0.0001,X1.0,1979-03-09 09:48:00,,,X1.4,0.00014286,,,,,,,
1979-03-19 00:00:00,1979-03-20 00:00:00,,,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1979-04-03 01:12:00,1979-04-04 01:12:00,14,-25,0.03,,45,,,,,,,1979-04-03 01:12:00,4.00E-05,M4.0,1979-04-03 01:12:00,,,M5.7,5.71E-05,,,,,,,
1979-04-13 06:00:00,1979-04-14 06:00:00,,,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1979-04-27 06:52:00,1979-04-28 06:52:00,-17,18,0.0004,,0,,,,,,,,,,,,,,,,,,,,,
1979-05-02 16:59:00,1979-05-03 16:59:00,55,20,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1979-06-05 05:14:00,1979-06-06 05:14:00,-14,17,0.001,,0,,,,,,,1979-06-05 05:14:00,0.0002,X2.0,1979-06-05 05:14:00,,,X2.8,0.00028571,,,,,,,
1979-06-06 14:00:00,1979-06-07 14:00:00,,,3,,950,,,,,,,,,,,,,,,,,,,,,
1979-06-25 06:15:00,1979-06-26 06:15:00,90,18,0.005,,0,,,,,,,1979-06-25 06:15:00,2.00E-05,M2.0,1979-06-25 06:15:00,,,M2.8,2.86E-05,,,,,,,
1979-07-04 19:20:00,1979-07-05 19:20:00,-36,11,0.013,,0,,,,,,,1979-07-04 19:20:00,2.00E-05,M2.0,1979-07-04 19:20:00,,,M2.8,2.86E-05,,,,,,,
1979-07-06 18:00:00,1979-07-07 18:00:00,,,0.09,,50,,,,,,,,,,,,,,,,,,,,,
1979-08-03 06:00:00,1979-08-04 06:00:00,,,0.01,,0,,,,,,,,,,,,,,,,,,,,,
1979-08-18 14:30:00,1979-08-19 04:00:00,-90,8,0.01,,0,,,,,,,1979-08-18 14:30:00,0.0006,X6.0,1979-08-18 14:30:00,,,X8.5,0.00085714,,,,,,,
1979-08-19 04:00:00,1979-08-20 04:00:00,,,0.5,,500,,,,,,,,,,,,,,,,,,,,,
1979-08-21 06:13:00,1979-08-22 06:13:00,40,17,5,33,0,,,,,,,1979-08-21 06:13:00,7.00E-06,C7.0,1979-08-21 06:13:00,,,M1.0,1.00E-05,,,,,,,
1979-08-26 17:01:00,1979-08-27 17:01:00,11,5,0.04,,0,,,,,,,1979-08-26 17:01:00,0.0002,X2.0,1979-08-26 17:01:00,,,X2.8,0.00028571,,,,,,,
1979-09-08 10:00:00,1979-09-09 10:00:00,,,0.05,,0,,,,,,,,,,,,,,,,,,,,,
1979-09-14 07:00:00,1979-09-15 07:00:00,-90,6,0.3,,60,,,,,,,1979-09-14 07:00:00,0.0002,X2.0,1979-09-14 07:00:00,,,X2.8,0.00028571,,,,,,,
1979-11-04 20:00:00,1979-11-05 20:00:00,,,0.002,,0,,,,,,,,,,,,,,,,,,,,,
1979-11-08 10:00:00,1979-11-09 10:00:00,,,0.004,,0,,,,,,,,,,,,,,,,,,,,,
1979-11-12 03:00:00,1979-11-13 03:00:00,,,0.002,,0,,,,,,,,,,,,,,,,,,,,,
1979-11-15 21:40:00,1979-11-16 21:40:00,35,29,0.6,,75,,,,,,,1979-11-15 21:40:00,2.00E-05,M2.0,1979-11-15 21:40:00,,,M2.8,2.86E-05,,,,,,,
1979-11-21 09:00:00,1979-11-22 09:00:00,,,0.03,,0,,,,,,,,,,,,,,,,,,,,,
1979-12-12 18:00:00,1979-12-13 18:00:00,,,0.0005,,0,,,,,,,,,,,,,,,,,,,,,
1979-12-20 00:00:00,1979-12-21 00:00:00,,,0.003,,0,,,,,,,,,,,,,,,,,,,,,
1979-12-26 00:00:00,1979-12-27 00:00:00,,,0.004,,0,,,,,,,,,,,,,,,,,,,,,
1979-12-29 10:00:00,1979-12-30 10:00:00,,,0.002,,0,,,,,,,,,,,,,,,,,,,,,
1980-01-11 04:00:00,1980-01-12 04:00:00,,,0.005,,0,,,,,,,,,,,,,,,,,,,,,
1980-01-25 21:08:00,1980-01-26 21:08:00,50,-19,0.01,,0,,,,,,,1980-01-25 21:08:00,7.00E-05,M7.0,1980-01-25 21:08:00,,,X1.0,0.0001,,,,,,,
1980-01-29 20:00:00,1980-01-30 20:00:00,,,0.01,,0,,,,,,,,,,,,,,,,,,,,,
1980-01-31 10:00:00,1980-02-01 10:00:00,,,0.004,,0,,,,,,,,,,,,,,,,,,,,,
1980-02-06 10:38:00,1980-02-07 10:38:00,37,-18,0.1,,12,,,,,,,1980-02-06 10:38:00,4.00E-06,C4.0,1980-02-06 10:38:00,,,C5.7,5.71E-06,,,,,,,
1980-02-08 09:10:00,1980-02-09 09:10:00,79,13,0.004,,0,,,,,,,1980-02-08 09:10:00,0.0001,X1.0,1980-02-08 09:10:00,,,X1.4,0.00014286,,,,,,,
1980-02-16 00:00:00,1980-02-17 00:00:00,,,0.002,,0,,,,,,,,,,,,,,,,,,,,,
1980-03-09 00:00:00,1980-03-10 00:00:00,,,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1980-03-25 04:24:00,1980-03-26 04:24:00,25,-26,0.001,,0,,,,,,,1980-03-25 04:24:00,8.00E-06,C8.0,1980-03-25 04:24:00,,,M1.1,1.14E-05,,,,,,,
1980-03-28 20:00:00,1980-03-29 20:00:00,,,0.0008,,0,,,,,,,,,,,,,,,,,,,,,
1980-04-03 12:00:00,1980-04-04 12:00:00,,,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1980-04-04 15:09:00,1980-04-05 15:09:00,35,27,0.2,,0,,,,,,,1980-04-04 15:09:00,5.00E-05,M5.0,1980-04-04 15:09:00,,,M7.1,7.14E-05,,,,,,,
1980-04-09 22:00:00,1980-04-10 22:00:00,,,0.0006,,0,,,,,,,,,,,,,,,,,,,,,
1980-05-03 20:00:00,1980-05-04 20:00:00,,,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1980-05-21 20:59:00,1980-05-22 20:59:00,15,-14,0.007,,0,,,,,,,1980-05-21 20:59:00,0.0001,X1.0,1980-05-21 20:59:00,,,X1.4,0.00014286,,,,,,,
1980-05-28 18:00:00,1980-05-29 18:00:00,35,-18,0.0006,,0,,,,,,,1980-05-28 18:00:00,4.00E-05,M4.0,1980-05-28 18:00:00,,,M5.7,5.71E-05,,,,,,,
1980-06-07 01:18:00,1980-06-07 03:15:00,72,13,0.001,,0,,,,,,,1980-06-07 01:18:00,3.00E-05,M3.0,1980-06-07 01:18:00,,,M4.2,4.29E-05,,,,,,,
1980-06-07 03:15:00,1980-06-08 03:15:00,74,12,0.003,,0,,,,,,,1980-06-07 03:15:00,6.00E-05,M6.0,1980-06-07 03:15:00,,,M8.5,8.57E-05,,,,,,,
1980-06-21 00:55:00,1980-06-22 00:55:00,-14,-12,0.003,,0,,,,,,,1980-06-21 00:55:00,2.00E-05,M2.0,1980-06-21 00:55:00,,,M2.8,2.86E-05,,,,,,,
1980-06-27 16:17:00,1980-06-28 16:17:00,67,-25,0.003,,0,,,,,,,1980-06-27 16:17:00,8.00E-05,M8.0,1980-06-27 16:17:00,,,X1.1,0.00011429,,,,,,,
1980-06-29 10:45:00,1980-06-30 10:45:00,90,-27,0.004,,0,,,,,,,1980-06-29 10:45:00,4.00E-05,M4.0,1980-06-29 10:45:00,,,M5.7,5.71E-05,,,,,,,
1980-07-05 22:40:00,1980-07-06 22:40:00,28,28,0.015,,0,,,,,,,1980-07-05 22:40:00,0.0001,X1.0,1980-07-05 22:40:00,,,X1.4,0.00014286,,,,,,,
1980-07-17 06:04:00,1980-07-18 06:04:00,-6,-11,1,,100,,,,,,,1980-07-17 06:04:00,5.00E-05,M5.0,1980-07-17 06:04:00,,,M7.1,7.14E-05,,,,,,,
1980-07-23 01:00:00,1980-07-24 01:00:00,-17,-19,0.01,,0,,,,,,,1980-07-23 01:00:00,9.00E-05,M9.0,1980-07-23 01:00:00,,,X1.2,0.00012857,,,,,,,
1980-08-06 18:00:00,1980-08-07 18:00:00,,,0.03,,0,,,,,,,,,,,,,,,,,,,,,
1980-08-18 00:00:00,1980-08-19 00:00:00,,,0.005,,0,,,,,,,,,,,,,,,,,,,,,
1980-08-21 18:00:00,1980-08-22 18:00:00,11,19,0.004,,0,,,,,,,1980-08-21 18:00:00,8.00E-05,M8.0,1980-08-21 18:00:00,,,X1.1,0.00011429,,,,,,,
1980-08-31 02:00:00,1980-09-01 02:00:00,,,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1980-09-01 07:00:00,1980-09-02 07:00:00,,,0.01,,0,,,,,,,,,,,,,,,,,,,,,
1980-09-24 00:00:00,1980-09-25 00:00:00,,,0.0003,,0,,,,,,,,,,,,,,,,,,,,,
1980-10-06 06:00:00,1980-10-07 06:00:00,,,0.0005,,0,,,,,,,,,,,,,,,,,,,,,
1980-10-09 09:00:00,1980-10-10 09:00:00,,,0.0003,,0,,,,,,,,,,,,,,,,,,,,,
1980-10-15 05:24:00,1980-10-16 05:24:00,-55,19,0.4,,0,,,,,,,1980-10-15 05:24:00,2.00E-05,M2.0,1980-10-15 05:24:00,,,M2.8,2.86E-05,,,,,,,
1980-10-23 11:00:00,1980-10-24 11:00:00,75,6,0.002,,0,,,,,,,1980-10-23 11:00:00,1.00E-05,M1.0,1980-10-23 11:00:00,,,M1.4,1.43E-05,,,,,,,
1980-10-25 09:00:00,1980-10-26 09:00:00,60,19,0.002,,0,,,,,,,1980-10-25 09:00:00,0.0003,X3.0,1980-10-25 09:00:00,,,X4.2,0.00042857,,,,,,,
1980-11-06 03:40:00,1980-11-07 03:40:00,-70,-13,0.004,,0,,,,,,,1980-11-06 03:40:00,0.0009,X9.0,1980-11-06 03:40:00,,,X12.8,0.0012857,,,,,,,
1980-11-11 17:44:00,1980-11-12 17:44:00,69,-11,0.006,,0,,,,,,,1980-11-11 17:44:00,4.00E-05,M4.0,1980-11-11 17:44:00,,,M5.7,5.71E-05,,,,,,,
1980-11-14 18:00:00,1980-11-15 18:00:00,,,0.05,,0,,,,,,,,,,,,,,,,,,,,,
1980-11-23 17:55:00,1980-11-24 17:55:00,20,11,0.1,,0,,,,,,,1980-11-23 17:55:00,2.00E-05,M2.0,1980-11-23 17:55:00,,,M2.8,2.86E-05,,,,,,,
1980-11-29 06:00:00,1980-11-30 06:00:00,,,0.014,,0,,,,,,,,,,,,,,,,,,,,,
1981-01-28 06:00:00,1981-01-29 06:00:00,,,0.0005,,0,,,,,,,,,,,,,,,,,,,,,
1981-03-07 06:30:00,1981-03-08 06:30:00,79,-22,0.02,,0,,,,,,,1981-03-07 06:30:00,2.00E-05,M2.0,1981-03-07 06:30:00,,,M2.8,2.86E-05,,,,,,,
1981-03-11 00:00:00,1981-03-12 00:00:00,,,0.0006,,0,,,,,,,,,,,,,,,,,,,,,
1981-03-25 20:46:00,1981-03-26 20:46:00,87,9,0.01,,0,,,,,,,1981-03-25 20:46:00,0.0001,X1.0,1981-03-25 20:46:00,,,X1.4,0.00014286,,,,,,,
1981-03-28 00:00:00,1981-03-29 00:00:00,,,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1981-03-30 00:47:00,1981-03-31 00:47:00,72,13,0.05,,30,,,,,,,1981-03-30 00:47:00,3.00E-05,M3.0,1981-03-30 00:47:00,,,M4.2,4.29E-05,,,,,,,
1981-04-01 01:17:00,1981-04-02 01:17:00,52,-43,0.09,,0,,,,,,,1981-04-01 01:17:00,0.0002,X2.0,1981-04-01 01:17:00,,,X2.8,0.00028571,,,,,,,
1981-04-03 09:11:00,1981-04-04 05:02:00,83,-41,0.09,,0,,,,,,,1981-04-03 09:11:00,8.00E-05,M8.0,1981-04-03 09:11:00,,,X1.1,0.00011429,,,,,,,
1981-04-04 05:02:00,1981-04-05 05:02:00,87,-44,0.1,,0,,,,,,,1981-04-04 05:02:00,0.0001,X1.0,1981-04-04 05:02:00,,,X1.4,0.00014286,,,,,,,
1981-04-10 16:51:00,1981-04-11 16:51:00,36,7,1.2,34,50,,,,,,,1981-04-10 16:51:00,0.0001,X1.0,1981-04-10 16:51:00,,,X1.4,0.00014286,,,,,,,
1981-04-15 22:42:00,1981-04-16 22:42:00,80,19,0.06,,0,,,,,,,1981-04-15 22:42:00,7.00E-06,C7.0,1981-04-15 22:42:00,,,M1.0,1.00E-05,,,,,,,
1981-04-24 14:08:00,1981-04-25 14:08:00,50,18,4,,160,,,,,,,1981-04-24 14:08:00,0.0005,X5.0,1981-04-24 14:08:00,,,X7.1,0.00071429,,,,,,,
1981-04-28 22:13:00,1981-04-29 22:13:00,90,16,1.3,,0,,,,,,,1981-04-28 22:13:00,0.0001,X1.0,1981-04-28 22:13:00,,,X1.4,0.00014286,,,,,,,
1981-04-30 04:00:00,1981-05-01 04:00:00,104,-91,1,,0,,,,,,,1981-04-30 04:00:00,2.00E-06,C2.0,1981-04-30 04:00:00,,,C2.8,2.86E-06,,,,,,,
1981-05-04 00:00:00,1981-05-05 00:00:00,,,0.1,,0,,,,,,,,,,,,,,,,,,,,,
1981-05-08 22:14:00,1981-05-09 22:14:00,-37,9,0.4,,150,,,,,,,1981-05-08 22:14:00,8.00E-05,M8.0,1981-05-08 22:14:00,,,X1.1,0.00011429,,,,,,,
1981-05-10 07:17:00,1981-05-11 07:17:00,75,3,3,35,,,,,,,,1981-05-10 07:17:00,1.00E-05,M1.0,1981-05-10 07:17:00,,,M1.4,1.43E-05,,,,,,,
1981-05-16 08:31:00,1981-05-17 08:31:00,-14,11,1.3,,0,,,,,,,1981-05-16 08:31:00,0.0001,X1.0,1981-05-16 08:31:00,,,X1.4,0.00014286,,,,,,,
1981-06-18 09:29:00,1981-06-19 09:29:00,35,-25,0.004,,0,,,,,,,1981-06-18 09:29:00,1.00E-05,M1.0,1981-06-18 09:29:00,,,M1.4,1.43E-05,,,,,,,
1981-06-27 08:25:00,1981-06-28 08:25:00,-33,19,0.007,,0,,,,,,,1981-06-27 08:25:00,3.00E-05,M3.0,1981-06-27 08:25:00,,,M4.2,4.29E-05,,,,,,,
1981-07-20 13:22:00,1981-07-21 13:22:00,75,-25,3,,100,,,,,,,1981-07-20 13:22:00,5.00E-05,M5.0,1981-07-20 13:22:00,,,M7.1,7.14E-05,,,,,,,
1981-07-24 10:00:00,1981-07-25 10:00:00,,,0.03,,0,,,,,,,,,,,,,,,,,,,,,
1981-08-07 19:11:00,1981-08-08 19:11:00,-25,-9,0.001,,57,,,,,,,1981-08-07 19:11:00,4.00E-05,M4.0,1981-08-07 19:11:00,,,M5.7,5.71E-05,,,,,,,
1981-08-21 08:31:00,1981-08-22 08:31:00,-2,-16,0.002,,0,,,,,,,1981-08-21 08:31:00,4.00E-05,M4.0,1981-08-21 08:31:00,,,M5.7,5.71E-05,,,,,,,
1981-09-06 18:00:00,1981-09-07 18:00:00,,,0.006,,0,,,,,,,,,,,,,,,,,,,,,
1981-09-09 20:00:00,1981-09-10 20:00:00,,,0.004,,0,,,,,,,,,,,,,,,,,,,,,
1981-09-17 12:00:00,1981-09-18 12:00:00,,,0.001,,0,,,,,,,,,,,,,,,,,,,,,
1981-09-19 15:00:00,1981-09-20 15:00:00,,,0.04,,0,,,,,,,,,,,,,,,,,,,,,
1981-10-07 23:11:00,1981-10-08 23:11:00,-83,-17,0.4,,2000,,,,,,,1981-10-07 23:11:00,0.0004,X4.0,1981-10-07 23:11:00,,,X5.7,0.00057143,,,,,,,
1981-10-12 06:20:00,1981-10-13 06:20:00,-31,-18,10,36,0,,,,,,,1981-10-12 06:20:00,0.0003,X3.0,1981-10-12 06:20:00,,,X4.2,0.00042857,,,,,,,
1981-10-18 11:12:00,1981-10-19 11:12:00,52,-17,,,0,,,,,,,1981-10-18 11:12:00,2.00E-05,M2.0,1981-10-18 11:12:00,,,M2.8,2.86E-05,,,,,,,
1981-11-07 03:00:00,1981-11-08 03:00:00,39,-7,0.002,,0,,,,,,,,,,,,,,,,,,,,,
1981-11-09 12:29:00,1981-11-10 12:29:00,-17,-17,0.01,,0,,,,,,,1981-11-09 12:29:00,4.00E-05,M4.0,1981-11-09 12:29:00,,,M5.7,5.71E-05,,,,,,,
1981-11-14 22:19:00,1981-11-15 22:19:00,47,15,0.02,,0,,,,,,,1981-11-14 22:19:00,5.00E-05,M5.0,1981-11-14 22:19:00,,,M7.1,7.14E-05,,,,,,,
1981-11-22 06:58:00,1981-11-23 06:58:00,21,13,0.002,,0,,,,,,,1981-11-22 06:58:00,1.00E-05,M1.0,1981-11-22 06:58:00,,,M1.4,1.43E-05,,,,,,,
1981-12-05 13:00:00,1981-12-06 13:00:00,40,-91,0.03,,0,,,,,,,1981-12-05 13:00:00,4.00E-06,C4.0,1981-12-05 13:00:00,,,C5.7,5.71E-06,,,,,,,
1981-12-09 18:25:00,1981-12-10 18:25:00,16,10,1,,65,,,,,,,1981-12-09 18:25:00,4.00E-05,M4.0,1981-12-09 18:25:00,,,M5.7,5.71E-05,,,,,,,
1981-12-27 02:51:00,1981-12-28 02:51:00,-16,-13,0.05,,0,,,,,,,1981-12-27 02:51:00,7.00E-06,C7.0,1981-12-27 02:51:00,,,M1.0,1.00E-05,,,,,,,
1982-01-02 06:20:00,1982-01-03 00:23:00,88,19,0.02,,0,,,,,,,1982-01-02 06:20:00,8.00E-05,M8.0,1982-01-02 06:20:00,,,X1.1,0.00011429,,,,,,,
1982-01-03 00:23:00,1982-01-04 00:23:00,,,0.004,,0,,,,,,,1982-01-03 00:23:00,2.00E-05,M2.0,1982-01-03 00:23:00,,,M2.8,2.86E-05,,,,,,,
