#Start Time,End Time,Experiment,Flux Type,Flags,User Experiment Name,User Filename,Options,BGStart,BGEnd,JSON Type,Spacecraft,IDSEP Path,Location,Species
1987-03-01 00:00:00,1987-05-28 18:40:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1987-05-28 18:40:00,1987-05-31 13:25:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1987-05-31 13:25:00,1987-11-06 22:35:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1987-11-06 22:35:00,1987-11-12 06:05:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1987-11-12 06:05:00,1987-12-29 04:50:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1987-12-29 04:50:00,1988-01-01 22:50:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1988-01-01 22:50:00,1988-01-09 08:50:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1988-01-09 08:50:00,1988-03-24 21:10:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1988-03-24 21:10:00,1988-03-28 06:55:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1988-03-28 06:55:00,1988-06-14 14:50:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1988-06-14 14:50:00,1988-06-19 00:20:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1988-06-19 00:20:00,1988-06-27 00:30:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
1988-06-27 00:30:00,1988-06-30 09:15:00,GOES-07,integral,IDSEPEnhancement,,,,,,observations,,./CLEAR/output/idsep/GOES-07_integral/csv,earth,protons
