#Start Time,End Time,Experiment,Flux Type,Flags,User Experiment Name,User Filename,Options,BGStart,BGEnd,JSON Type,Spacecraft,IDSEP Path,Location,Species
1986-01-01 00:00:00,1986-02-03 07:05:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-02-03 07:05:00,1986-02-04 23:10:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-02-04 23:10:00,1986-02-06 07:05:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-02-06 07:05:00,1986-02-07 12:45:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-02-07 12:45:00,1986-02-10 14:05:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-02-10 14:05:00,1986-02-12 10:40:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-02-12 10:40:00,1986-02-13 10:05:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-02-13 10:05:00,1986-02-16 23:45:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-02-16 23:45:00,1986-02-20 22:35:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-02-20 22:35:00,1986-03-05 16:45:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-03-05 16:45:00,1986-03-09 15:40:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-03-09 15:40:00,1986-05-03 10:50:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-05-03 10:50:00,1986-05-07 18:20:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-05-07 18:20:00,1986-07-14 23:55:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-07-14 23:55:00,1986-09-15 00:15:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-09-15 00:15:00,1986-11-14 23:25:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-11-14 23:25:00,1986-11-21 23:40:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-11-23 06:35:00,1986-11-26 02:25:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-11-26 17:35:00,1986-12-09 02:50:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-12-09 02:50:00,1986-12-10 18:40:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-12-10 18:40:00,1986-12-31 18:40:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1986-12-31 18:40:00,1987-03-01 01:05:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1987-03-01 01:05:00,1987-05-28 18:40:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1987-05-28 18:40:00,1987-05-31 13:25:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1987-05-31 13:25:00,1987-11-06 22:35:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1987-11-06 22:35:00,1987-11-12 06:05:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1987-11-12 06:05:00,1987-12-29 04:50:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1987-12-29 04:50:00,1988-01-01 22:50:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-01-01 22:50:00,1988-01-09 08:50:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-01-09 08:50:00,1988-03-24 21:10:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-03-24 21:10:00,1988-03-28 06:55:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-03-28 06:55:00,1988-08-23 10:45:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-08-23 10:45:00,1988-08-29 04:05:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-08-29 04:05:00,1988-09-02 07:50:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-09-02 07:50:00,1988-09-27 04:45:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-09-27 04:45:00,1988-09-30 15:50:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-09-30 15:50:00,1988-10-07 20:05:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-10-07 20:05:00,1988-10-11 05:25:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-10-11 05:25:00,1988-10-13 00:35:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-10-13 00:35:00,1988-10-13 16:50:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-10-13 16:50:00,1988-10-17 04:25:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-10-17 04:25:00,1988-11-07 13:25:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-11-07 13:25:00,1988-11-12 21:20:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-11-12 21:20:00,1988-11-17 00:00:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-11-17 00:00:00,1988-11-23 08:05:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-11-23 08:05:00,1988-11-29 02:25:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-11-29 02:25:00,1988-12-13 12:45:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-12-13 12:45:00,1988-12-16 09:25:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-12-16 09:25:00,1988-12-24 08:45:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-12-24 08:45:00,1988-12-26 22:20:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-12-26 22:20:00,1988-12-28 11:55:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-12-28 11:55:00,1988-12-31 00:00:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1988-12-31 00:00:00,1989-01-03 21:05:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
1989-01-03 21:05:00,1989-01-06 21:10:00,GOES-06,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-06_integral/csv,earth,protons
