#Start Time,End Time,Experiment,Flux Type,Flags,User Experiment Name,User Filename,Options,BGStart,BGEnd,JSON Type,Spacecraft,IDSEP Path,Location,Species
2022-06-21 00:00:00,2022-07-08 14:50:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2022-07-08 14:50:00,2022-07-16 00:00:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2022-07-16 00:00:00,2022-08-14 08:10:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2022-08-14 08:10:00,2022-08-17 23:05:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2022-08-17 23:05:00,2022-08-26 05:55:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2022-08-26 05:55:00,2022-08-31 12:05:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2022-08-31 12:05:00,2022-09-07 00:00:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2022-09-07 00:00:00,2022-09-23 12:30:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2022-09-23 12:30:00,2022-09-30 18:25:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2022-09-30 18:25:00,2022-10-02 18:05:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2022-10-02 18:05:00,2022-10-05 02:35:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2022-10-05 02:35:00,2023-01-12 00:05:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-01-12 00:05:00,2023-01-19 12:15:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-01-19 12:15:00,2023-01-22 03:25:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-01-22 03:25:00,2023-01-31 07:15:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-01-31 07:15:00,2023-02-05 14:00:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-02-05 14:00:00,2023-02-10 14:50:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-02-10 14:50:00,2023-02-23 21:25:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-02-23 21:25:00,2023-02-25 20:30:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-02-25 20:30:00,2023-03-01 12:05:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-03-01 12:05:00,2023-03-12 04:35:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-03-12 04:35:00,2023-03-18 18:30:00,GOES_RT,integral,IDSEPEnhancement;TwoPeaks,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-03-18 18:30:00,2023-03-24 14:55:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-03-24 14:55:00,2023-03-29 09:10:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-03-29 09:10:00,2023-03-31 18:05:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-03-31 18:05:00,2023-04-21 01:40:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-04-21 01:40:00,2023-04-25 08:20:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-04-25 08:20:00,2023-05-07 01:20:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-05-07 01:20:00,2023-05-09 21:45:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-05-09 21:45:00,2023-05-12 23:40:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-05-12 23:40:00,2023-05-20 13:10:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-05-20 13:10:00,2023-07-09 14:05:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-07-09 14:05:00,2023-07-10 13:35:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-07-10 13:35:00,2023-07-11 18:15:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-07-11 18:15:00,2023-07-14 19:35:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-07-14 19:35:00,2023-07-15 20:05:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-07-15 20:05:00,2023-07-16 05:35:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-07-16 05:35:00,2023-07-16 17:30:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-07-16 17:30:00,2023-07-17 23:55:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-07-17 23:55:00,2023-07-24 18:10:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-07-24 18:10:00,2023-07-27 17:10:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-07-27 17:10:00,2023-08-02 19:45:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-08-02 19:45:00,2023-08-04 08:40:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-08-04 08:40:00,2023-08-05 22:55:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-08-05 22:55:00,2023-08-07 20:30:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-08-07 20:30:00,2023-08-15 00:00:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-08-15 00:00:00,2023-08-16 20:00:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-08-16 20:00:00,2023-08-18 09:05:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-08-18 09:05:00,2023-08-31 03:55:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-08-31 03:55:00,2023-09-05 12:10:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-09-05 12:10:00,2023-09-08 18:50:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-09-08 18:50:00,2023-09-12 00:00:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-09-12 00:00:00,2023-09-16 14:00:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-09-16 14:00:00,2023-09-19 19:50:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-09-19 19:50:00,2023-09-23 08:35:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-09-23 08:35:00,2023-09-26 09:45:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-09-26 09:45:00,2023-11-02 09:40:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-11-02 09:40:00,2023-11-06 00:00:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-11-06 00:00:00,2023-11-08 17:10:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-11-08 17:10:00,2023-11-12 15:25:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-11-12 15:25:00,2023-12-13 19:10:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
2023-12-13 19:10:00,2023-12-19 05:40:00,GOES_RT,integral,IDSEPEnhancement,,,,,,observations,primary,./CLEAR/output/idsep/GOES_RT_integral_primary/csv,earth,protons
