#Start Time,End Time,Experiment,Flux Type,Flags,User Experiment Name,User Filename,Options,BGStart,BGEnd,JSON Type,Spacecraft,IDSEP Path,Location,Species
2003-06-19 00:00:00,2003-06-25 00:00:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-06-25 00:00:00,2003-10-21 14:45:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-10-21 14:45:00,2003-10-23 06:30:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-10-23 06:30:00,2003-10-26 01:00:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-10-26 01:00:00,2003-10-28 00:10:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-10-28 00:10:00,2003-10-28 11:15:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-10-28 11:15:00,2003-10-29 20:55:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-10-29 20:55:00,2003-11-02 17:25:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-11-02 17:25:00,2003-11-04 21:00:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-11-04 21:00:00,2003-11-17 03:00:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-11-17 03:00:00,2003-11-19 02:25:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-11-19 02:25:00,2003-11-21 15:20:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-11-21 15:20:00,2003-11-26 16:25:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-11-26 16:25:00,2003-12-01 12:10:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2003-12-09 00:00:00,2004-04-10 06:05:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2004-04-10 06:05:00,2004-04-14 03:45:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2004-04-14 03:45:00,2004-07-12 03:05:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
2004-07-12 03:05:00,2004-07-14 23:00:00,GOES-11,integral,IDSEPEnhancement,,,,,,observations,,./output/idsep/GOES-11_integral/csv,earth,protons
